№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
2758	Закрытое акционерное общество Сеть поликлиник "Семейный доктор"	127254, г. Москва, ул. Добролюбова, д. 14А	(495) 780-0772	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, ул. Каланчевская, д. 16, стр. 1, офис 5Г	Аптечный пункт
2759	Закрытое акционерное общество Сеть поликлиник "Семейный доктор"	129110, г. Москва, Орлово-Давыдовский переулок, д. 8	(495) 780-0772	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, ул. Каланчевская, д. 16, стр. 1, офис 5Г	Аптечный пункт
2760	Закрытое акционерное общество Сеть поликлиник "Семейный доктор"	125493, г. Москва, ул. Флотская, д. 5, корп. А	(495) 780-0772	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, ул. Каланчевская, д. 16, стр. 1, офис 5Г	Аптечный пункт
2761	Закрытое акционерное общество Сеть поликлиник "Семейный доктор"	119192, г. Москва, просп. Мичуринский, д. 34	(495) 780-0772	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, ул. Каланчевская, д. 16, стр. 1, офис 5Г	Аптечный пункт
2762	ООО "АланФарн"	127287, г. Москва, 4-й Вятский пер., д.20	162-08-22	режим работы устанавливается юридическим лицом самостоятельно	127287, Россия, г. Москва, 4-й Вятский пер., д.20	Аптечный пункт
2763	ООО "ФАРМАЦЕВТИКА"	127550, г. Москва, ш. Дмитровское, д.43А, стр.1	722-29-32	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, офис 309	Аптечный пункт
2764	ООО "Дом Здоровья"	107061, г. Москва, пл. Преображенская, д.6	789-17-75	режим работы устанавливается юридическим лицом самостоятельно	125459, Россия, г. Москва, бульвар Яна Райниса, д. 10	Аптечный пункт
2765	ООО "ФармаС"	125412, г. Москва, ул. Ангарская, д.26, корп.1	917-544-04-25	режим работы устанавливается юридическим лицом самостоятельно	127276, Россия, г. Москва, улица Ботаническая, д.14, офис 21	Аптечный пункт
2766	ООО "Торговый центр МАЯК"	113519, г. Москва, ул. Красного Маяка, д. 10	8-499-907-80-29	режим работы устанавливается юридическим лицом самостоятельно	113519, Россия, г. Москва, ул. Красного Маяка, д. 10	Аптечный пункт
2767	ООО "Злата"	127562, г. Москва, ул. Декабристов, д. 10, корп. 2	8-495-694-37-83	режим работы устанавливается юридическим лицом самостоятельно	129337, Россия, г. Москва, Ярославское шоссе, д. 55, корп. 1	Аптечный пункт
2768	ООО "МЕДЗдоровье"	117513, г. Москва, просп. Ленинский, д. 123	8-499-787-09-04	режим работы устанавливается юридическим лицом самостоятельно	117513, Россия, г. Москва, Ленинский проспект, д. 123	Аптечный пункт
2769	ООО "ФАРМ-2С"	109156, г. Москва, ул. Кузнецова Генерала, д. 19, корп. 1	8-499-746-19-43	режим работы устанавливается юридическим лицом самостоятельно	109156, Россия, г. Москва, ул. Генерала Кузнецова, д. 19, корп. 1, офис 12	Аптечный пункт
2770	ООО Аптека "Орхидея"	121352, г. Москва, Славянский бульвар, д. 5, корп. 1	445-14-42	режим работы устанавливается юридическим лицом самостоятельно	121352, Россия, г. Москва, Славянский бульвар, д.5, корп.1	Аптека готовых лекарственных форм
2771	ООО "Аптека 03 Фармика"	119602, г. Москва, ул. Покрышкина, д. 9	8-916-477-62-15	режим работы устанавливается юридическим лицом самостоятельно	119602, Россия, г. Москва, ул. Покрышкина, д. 9	Аптечный пункт
2772	ООО "ЗелМедЦентр"	124460, г. Москва, г. Зеленоград, Панфиловский пр., д.10	739-02-59	режим работы устанавливается юридическим лицом самостоятельно	124460, Россия, г. Зеленоград, Панфиловский проспект, д. 10	Аптечный пункт
2773	ООО "ЗелМедЦентр"	124460, г. Москва, г. Зеленоград, Крюковская пл.	739-02-59	режим работы устанавливается юридическим лицом самостоятельно	124460, Россия, г. Зеленоград, Панфиловский проспект, д. 10	Аптечный пункт
2774	ООО "ЗелМедЦентр"	127015, г. Москва, ул. Новодмитровская, д. 5 А, стр. 2	739-02-59	режим работы устанавливается юридическим лицом самостоятельно	124460, Россия, г. Зеленоград, Панфиловский проспект, д. 10	Аптечный пункт
2775	ООО "Экомир"	129344, г. Москва, ул. Бабушкина Летчика, д. 10/1	8-495-640-64-96	режим работы устанавливается юридическим лицом самостоятельно	129344, Россия, г. Москва, ул. Летчика Бабушкина, д. 10/1	Аптечный пункт
2776	ООО "Экомир"	129281, г. Москва, ул. Менжинского, д. 38, корп. 1, стр. 2	8-495-640-64-96	режим работы устанавливается юридическим лицом самостоятельно	129344, Россия, г. Москва, ул. Летчика Бабушкина, д. 10/1	Аптека готовых лекарственных форм
2777	ООО "Соцздрав"	121596, г. Москва, ул. Маршала Неделина, д. 2	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	115230, Россия, г. Москва, Хлебозаводский пр., д. 7, стр. 9	Аптечный пункт
2778	ООО "Соцздрав"	109240, г. Москва, Солянский туп., д. 1/4, стр. 1-2	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	115230, Россия, г. Москва, Хлебозаводский пр., д. 7, стр. 9	Аптечный пункт
2779	ООО "МИЛИСОН"	105064, г. Москва, пер. Сусальный нижн., д.5, стр.2	8963-761-99-93	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая площадь, д.4 А, офис 309	Аптечный пункт
2780	ООО "Здравушка+"	107150, г. Москва, ул. Ивантеевская, д.32, корп.3	225-66-81; 911-57-58	режим работы устанавливается юридическим лицом самостоятельно	107150, Россия, г. Москва, ул. Ивантеевская, д.32, корп.3, этаж 1, помещение 43, комнаты 1-4	Аптечный пункт
2781	ООО "Аптечная сеть "Рецепт"	125130, г. Москва, ул. Зои и Александра Космодемьянских, д.25/34	8-909-142-6770	режим работы устанавливается юридическим лицом самостоятельно	125130, Россия, г. Москва, ул. Зои и Александра Космодемьянских, д.25/34	Аптека
2782	ООО "ЛЕФАРМ"	109544, г. Москва, пл. Рогожская Застава, д.2/1, стр.1	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	109544, Россия, г. Москва, пл. Рогожская Застава, д.2/1, cтр.1	Аптечный пункт
2783	ООО "КБ Инфо-Сервис"	115516, г. Москва, ул. Каспийская, вл. 36, 36 Д, 36 Ж	8-910-078-1345	режим работы устанавливается юридическим лицом самостоятельно	115035, Россия, г. Москва, ул. Большая Серпуховская, д.38, стр.2	Аптечный пункт
2784	ООО "КБ Инфо-Сервис"	115477, г. Москва, Пролетарский проспект, д.16, корп.1	8-910-078-1345	режим работы устанавливается юридическим лицом самостоятельно	115035, Россия, г. Москва, ул. Большая Серпуховская, д.38, стр.2	Аптечный пункт
2785	ОАО "Торговая сеть "АПТЕЧКА"	117403, г. Москва, ул. Булатниковская, д. 2 А	8-495-660-16-28	режим работы устанавливается юридическим лицом самостоятельно	129515, Россия, г. Москва, улица Академика Королева, дом 4, корпус 4	Аптечный пункт
2786	ООО "Партнеринвест-Фарма"	119285, г. Москва, Воробьевское ш., д.4	8-910-078-1345	режим работы устанавливается юридическим лицом самостоятельно	127018, Россия, г. Москва, ул. Советской Армии, д.7	Аптечный пункт
2787	ООО "АПТЕКА №65"	117279, г. Москва, ул. Миклухо-Маклая, д.32А	8-916-323-81-43	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая площадь, д.4а	Аптечный пункт
2788	ООО "АРИС"	000000, г. Москва, Никитский бульвар, д.9, стр.1	8-495-944-49-16	режим работы устанавливается юридическим лицом самостоятельно	123480, Россия, г. Москва, ул. Планерная, д.5	Аптечный пункт
2789	ЗАО "Айпара и Компания"	111539, г. Москва, ул. Старый Гай, д.9	363-00-72; 708-47-00	режим работы устанавливается юридическим лицом самостоятельно	117513, Россия, г. Москва, ул. Островитянова, д.4, пом.XI	Аптечный пункт
2790	ООО "Мёбиус"	129366, г. Москва, просп. Мира, д.182	920-14-19; 8-906-749-53-05	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптека
2791	ООО "Здоровый стиль"	115432, г. Москва, ул. Трофимова, д.36, корп. 1	8-499-892-95-17	режим работы устанавливается юридическим лицом самостоятельно	105005, Россия, г. Москва, ул. Бауманская, д.20, стр.7	Аптечный пункт
2792	ООО "Доктор "ВИТА"	125047, г. Москва, ул. 3-я Тверская-Ямская, д. 21/23, пом. V	8-916-615-60-67, 8-926-215-56-67	режим работы устанавливается юридическим лицом самостоятельно	119421, Россия, г. Москва, ул. Обручева, д. 15, корп. 2, кв. 108	Аптека
2793	ООО "София"	117449, г. Москва, ул. Шверника, д. 12/2, корп. 1	798-74-44	режим работы устанавливается юридическим лицом самостоятельно	129337, Россия, г. Москва, шоссе Ярославское, д. 55, корп. 1	Аптечный пункт
2794	ООО "НАЙЯ"	117593, г. Москва, бульв. Литовский, д. 1 А	8-903-119-77-07, 514-47-04	режим работы устанавливается юридическим лицом самостоятельно	127051, Россия, г. Москва, Малая Сухаревская площадь, д. 6, стр. 1	Аптечный пункт
2795	ООО "НАЙЯ"	119333, г. Москва, ул. Фотиевой, д.12, корп. 3	8-903-119-77-07, 514-47-04	режим работы устанавливается юридическим лицом самостоятельно	127051, Россия, г. Москва, Малая Сухаревская площадь, д. 6, стр. 1	Аптечный пункт
2796	ООО "Гиппократ"	109125, г. Москва, просп. Волгоградский, д. 53, пом. II	8-905-359-31-83	режим работы устанавливается юридическим лицом самостоятельно	115408, Россия, г. Москва, улица Братеевская, дом 18, корп. 1, кв. 47	Аптечный пункт
2797	ООО "Дарина"	129085, г. Москва, проспект Мира, д. 95, стр. 1	8-906-906-93-01	режим работы устанавливается юридическим лицом самостоятельно	129337, Россия, г. Москва, шоссе Ярославское, д. 55, корп. 1	Аптека
2798	ООО "Формула Здоровья - 5"	107023, г. Москва, ул. Большая Семеновская, д. 26, стр. 2	8-925-8931093	режим работы устанавливается юридическим лицом самостоятельно	105568, Россия, г. Москва, ул. Челябинская, д. 19, корп. 4, офис 3	Аптека
2799	ООО "Парус"	119415, г. Москва, просп. Вернадского, д.39	8-495-671-46-06/07	режим работы устанавливается юридическим лицом самостоятельно	111024, Россия, г. Москва, ул. Пруд Ключики, д.3	Аптечный пункт
2800	ООО "Есения"	125459, г. Москва, ул. Туристская, д. 19, корп. 1	8-906-906-93-01	режим работы устанавливается юридическим лицом самостоятельно	129337, Россия, г. Москва, шоссе Ярославское, д. 55, корп. 1	Аптечный пункт
2801	ООО "Формула Здоровья - 6"	105523, г. Москва, ш. Щёлковское, д. 82	506-01-30, 8-925-893-10-93	режим работы устанавливается юридическим лицом самостоятельно	105568, Россия, г. Москва, ул. Челябинская, д. 19, корп. 4, офис 3	Аптека
2802	ООО "Аптечная сеть "Знахарь"	125445, г. Москва, Ленинградское шоссе, д. 132А	974-86-58, 416-41-98	режим работы устанавливается юридическим лицом самостоятельно	121359, Россия, г. Москва, ул. Партизанская, д. 40	Аптечный пункт
2803	ООО "ФАРМАЦЕВТИКА"	127599, г. Москва, ул. Бусиновая горка, д.2, стр.2	722-29-32	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, офис 309	Аптечный пункт
2804	ООО "Фарм Групп"	125493, г. Москва, ул. Авангардная, д.16	916-351-55-01	режим работы устанавливается юридическим лицом самостоятельно	125150, Россия, г. Москва, ул. Михалковская, дом 9	Аптечный пункт
2805	ООО "Нефрит"	119285, Москва, ул. Мосфильмовская, д.2 В	909-975-88-26	режим работы устанавливается юридическим лицом самостоятельно	127486, Россия, г. Москва, Коровинское шоссе, д.3, корп.2	Аптечный пункт
2806	ООО "РОЗА"	111402, г. Москва, ул. Кетчерская, владение 1Д, стр.2	517-46-34	режим работы устанавливается юридическим лицом самостоятельно	111399, Россия, г. Москва, проспект Федеративный, д.5, корп.1, офис 31	Аптека
2807	ООО "Еврофармекс"	125040, г. Москва, ул. Нижняя, д.5	514-47-04	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, оф. 309	Аптечный пункт
2808	ООО "Глицина"	123060, г. Москва, ул. Бирюзова Маршала, д.17	916-886-04-40	режим работы устанавливается юридическим лицом самостоятельно	123060, Россия, г. Москва, ул. Маршала Бирюзова, д.17	Аптечный пункт
2809	ООО "ФАРМА-РУС"	115191, г. Москва, ул. Тульская Большая, д.10, стр.5	514-47-04	режим работы устанавливается юридическим лицом самостоятельно	115191, Россия, г. Москва, ул. Большая Тульская, д.10, стр.5	Аптечный пункт
2810	ООО "АскорбинкаФарм"	107113, г. Москва, ул. Сокольнический Вал, д.22	972-68-22	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, ул. Сокольнический Вал, д.22	Аптечный пункт
2811	ООО "Международный Центр Восстановительной Медицины АЛЬТЕРА"	105066, г. Москва, ул. Новорязанская, д.30А, стр.8	265-71-37	режим работы устанавливается юридическим лицом самостоятельно	105066, Россия, г. Москва, ул. Новорязанская, д. 30 А, стр. 8	Аптечный пункт
2812	ООО "СИТИФАРМ"	125319, г. Москва, ул. Усиевича, д.2	8-901-530-33-51	режим работы устанавливается юридическим лицом самостоятельно	107140, Россия, г. Москва, Комсомольская площадь, д.3, стр.13	Аптечный киоск
2813	ООО "Лидер"	125475, г. Москва, ул. Петрозаводская, д.34	8-495-609-38-81	режим работы устанавливается юридическим лицом самостоятельно	125480, Россия, г. Москва, ул. Героев-Панфиловцев, д.16	Аптечный пункт
2814	ООО Управляющая компания "Фармаком"	125466, г. Москва, Новокуркинское шоссе, д.47	8-499-199-37-03	режим работы устанавливается юридическим лицом самостоятельно	119269, Россия, г. Москва, Ленинский проспект, д.66	Аптечный пункт
2815	ООО "ПромПотреб-Сервис"	129329, г. Москва, ул. Вересковая, д.16	8-901-532-84-08	режим работы устанавливается юридическим лицом самостоятельно	117333, Россия, г. Москва, ул. Вавилова, д.48, квартира правления 102	Аптека
2816	ООО "Корунд"	111625, г. Москва, ул. Лухмановская, д. 17	647-66-97	режим работы устанавливается юридическим лицом самостоятельно	119421, Россия, г. Москва, ул. Обручева, д. 16, корп. 1	Аптечный пункт
2817	ООО "Корунд"	125183, г. Москва, ул. Большая Академическая, д. 67	647-66-97	режим работы устанавливается юридическим лицом самостоятельно	119421, Россия, г. Москва, ул. Обручева, д. 16, корп. 1	Аптечный пункт
2818	ООО "АТОМ"	115563, г. Москва, ул. Генерала Белова, д. 25Б	8-903-976-39-24	режим работы устанавливается юридическим лицом самостоятельно	129345, Россия, г. Москва, ул. Тайнинская, дом 6, квартира 118	Аптечный пункт
2819	ООО "Апшерон"	129323, г. Москва, ул. Снежная, д. 27	8-916-696-20-92	режим работы устанавливается юридическим лицом самостоятельно	129327, Россия, г. Москва, ул. Менжинского, д. 29	Аптечный пункт
2820	ООО "ДискомСтандарт"	117574, г. Москва, пр. Одоевского, д. 11, корп. 7	749-82-03; 434-42-68	режим работы устанавливается юридическим лицом самостоятельно	117997, Россия, г. Москва, ул. Островитянова, д.1, стр.4	Аптечный пункт
2821	ООО "Максифарм"	115304, г. Москва, ул. Кантемировская, д.6, корп.1	233-39-87; 365-07-92	режим работы устанавливается юридическим лицом самостоятельно	105187, Россия, г. Москва, Окружной проезд, д. 15	Аптечный пункт
2822	ООО "Максифарм"	115191, Москва, ул. Б.Тульская, д. 2	233-39-87; 365-07-92	режим работы устанавливается юридическим лицом самостоятельно	105187, Россия, г. Москва, Окружной проезд, д. 15	Аптечный пункт
2823	ООО "Амадея"	111539, Москва, ул. Новокосинская, д. 22	557-21-34; 647-66-97	режим работы устанавливается юридическим лицом самостоятельно	127644, Россия, г. Москва, Карельский бульвар, д.5	Аптечный пункт
2824	ООО "ЖА Аптека"	127224, г. Москва, Студеный проезд, д. 28	8-499-476-84-75	режим работы устанавливается юридическим лицом самостоятельно	109004, Россия, г. Москва, Пестовский переулок, д. 12, стр. 1	Аптечный пункт
2825	ООО МаксФарм	121096, Москва, ул. Кастанаевская, д. 17	105-11-38; 8-926-159-97-70	режим работы устанавливается юридическим лицом самостоятельно	Россия, г. Москва	Аптечный пункт
2826	ООО "МЕДЕНТА"	123308, г. Москва, Новохорошевский пр., д. 25	8-961-755-45-85	режим работы устанавливается юридическим лицом самостоятельно	123308, Россия, г. Москва, Новохорошевский проезд, д. 25	Организация оптовой торговли лекарственными средствами для медицинского применения
2827	ООО "Гелиос"	109428, г. Москва, ул. 2-я Институтская, д.6, стр.12А	8-926-449-30-34; 8-964-520-50-00	режим работы устанавливается юридическим лицом самостоятельно	109428, Россия, г. Москва, ул. 2-я Институтская, д.6, стр.12А	Аптечный пункт
2828	ООО "Векфарм"	111395, г. Москва, ул. Снайперская, д. 8Б	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	111396, Россия, г. Москва, ул. Алексея Дикого, д. 5, корп. 1	Аптечный пункт
2829	ООО "НАТАЛЛИ ЛГ"	125464, г. Москва, Новотушинский проезд, д.10, корп.2	199-03-34; 8-916-793-62-29	режим работы устанавливается юридическим лицом самостоятельно	103051, Россия, г. Москва, пер. Большой Каретный, д. 22, стр. 6	Аптечный пункт
2830	ООО "Фарм Компани"	105037, г. Москва, ул. 1-я Парковая, д.4	514-47-04	режим работы устанавливается юридическим лицом самостоятельно	115230, Россия, г. Москва, Хлебозаводский проезд, д.7, стр.9, этаж 2, пом. IX, ком. 9	Аптечный киоск
2831	ИП Железогло Евдокия Ивановна	125222, г. Москва, пер. Уваровский, д.3	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	129090, Россия, г. Москва, Спасский туп., д.4, кв.13	Аптечный пункт
2832	ООО "ЗДОРОВЯК"	117321, г. Москва, ул. Профсоюзная, д.126, корп.3	920-14-19	режим работы устанавливается юридическим лицом самостоятельно	121069, Россия, г. Москва, Борисоглебский переулок, д.6, стр. 3	Аптечный пункт
2833	ООО "ЛораФарм"	127562, г. Москва, ул. Декабристов, д.10, корп.2	8-910-078-1345	режим работы устанавливается юридическим лицом самостоятельно	125239, Россия, г. Москва, Коптевский бульвар, дом 18, кв.48	Аптечный пункт
2834	ООО "Лидер"	123310, г. Москва, Ангелов пер., д.6, корп.3	8-909-676-59-93	режим работы устанавливается юридическим лицом самостоятельно	125363, Россия, г. Москва, ул. Сходненская, д.31	Аптечный пункт
2835	ООО "Каприз"	107392, г. Москва, ул. Халтуринская, д.13	8-909-975-88-26	режим работы устанавливается юридическим лицом самостоятельно	107014, Россия, г. Москва, Сокольническая площадь, д.9, корп.1	Аптечный пункт
2836	ООО "Барс"	111674, г. Москва, ул. 2-я Вольская, д.22, корп.2	995-22-51	режим работы устанавливается юридическим лицом самостоятельно	109469, Россия, г. Москва, ул. Белореченская, д.34, корп.1	Аптека
2837	ООО "Европейский Фармацевтический Альянс"	000000, г. Москва, ул. Митинская, д.43	8-910-078-1345	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, оф. 309	Аптечный пункт
2838	ООО "ГРИНфарм"	105066, г. Москва, ул. Нижняя Красносельская, д.32/29, стр.2	958-0897	режим работы устанавливается юридическим лицом самостоятельно	121170, Россия, г. Москва, Кутузовский проспект, д.36, стр.2	Аптечный пункт
2839	ИП Амирханова Молотхан Саварбековна	115573, г. Москва, ул. Шипиловская, д.48, корп.2А	450-9870	режим работы устанавливается юридическим лицом самостоятельно	115582, Россия, г. Москва, Каширское шоссе, д.130, кв.43	Аптечный пункт
2840	ИП Монастыршин Сергей Анатольевич	127411, г. Москва, Дмитровское ш., д.129, корп.2	744-04-10	режим работы устанавливается юридическим лицом самостоятельно	111555, Россия, г. Москва, Свободный проспект, д. 11, корп. 1, кв. 65	Аптечный пункт
2841	ООО "Аптечная сеть "Знахарь"	117036, г. Москва, проспект Шестидесятилетия Октября, д. 31/18, корп. 1	974-86-58, 416-41-98	режим работы устанавливается юридическим лицом самостоятельно	121359, Россия, г. Москва, ул. Партизанская, д. 40	Аптечный пункт
2842	ООО "Аптека в Люблино"	109559, г. Москва, ул. Краснодарская, д.48	773-72-00	режим работы устанавливается юридическим лицом самостоятельно	109559, Россия, г. Москва, ул. Краснодарская, д.48	Аптечный пункт
2843	ООО "Альфа Интеэлкон"	117452, г. Москва, защитный наземный павильон восточного вестибюля станции метро "Каховская"	8-495-922-93-08	режим работы устанавливается юридическим лицом самостоятельно	105007, Россия, г. Москва, ул. Бауманская, д.50/12	Аптечный пункт
2844	ООО "Здоровая планета"	125212, г. Москва, ул. Адмирала Макарова, д.45, стр.3	514-47-04, 950-55-58	режим работы устанавливается юридическим лицом самостоятельно	121096, Россия, г. Москва, ул. Олеко Дундича, д. 3	Аптечный пункт
2845	ОАО "Камея"	121099, г. Москва, Новинский бульвар, д.1/2	922-22-67	режим работы устанавливается юридическим лицом самостоятельно	121099, Россия, г. Москва, Новинский бульвар, д.1/2	Аптечный пункт
2846	ООО "Арт Дент"	109428, г. Москва, Рязанский проспект, д.53	8-916-420-91-67, 8-499-170-01-01	режим работы устанавливается юридическим лицом самостоятельно	107258, Россия, г. Москва, ул. 3-я Гражданская, д. 52	Аптечный пункт
2847	ООО "ФармСити"	117543, г. Москва, ул. Адмирала Лазарева, д.52, корп.3	904-61-70, 900-54-88	режим работы устанавливается юридическим лицом самостоятельно	117543, Россия, г. Москва, ул. Адмирала Лазарева, д.52, корп.3	Аптечный пункт
2848	ООО "Ваша Аптека"	111402, г. Москва, ул. Старый Гай, д.8Д	739-41-73, 8-499-762-42-40	режим работы устанавливается юридическим лицом самостоятельно	127550, Россия, г. Москва, ул. Дмитровское шоссе, д.39, корп.1	Аптечный пункт
2849	ООО "ФАРМИКС-М"	000000, г. Москва, ул. Чоботовская,д.15	8-903-017-58-20	режим работы устанавливается юридическим лицом самостоятельно	125222, Россия, г. Москва, ул. Генерала Белобородова, д. 12	Аптечный пункт
2850	ООО "ФАРМИКС-М"	000000, г. Москва, ул. Академика Пилюгина, д.10	8-903-017-58-20	режим работы устанавливается юридическим лицом самостоятельно	125222, Россия, г. Москва, ул. Генерала Белобородова, д. 12	Аптечный пункт
2851	ЗАО "Флория"	127224, г. Москва, ул. Грекова, д.4	947-90-32, 737-82-92	режим работы устанавливается юридическим лицом самостоятельно	127422, Россия, г. Москва, ул. Костякова, д.6/5	Аптечный пункт
2852	ООО "Эллимар Групп"	109044, Москва, Симоновский вал.26, к.1	920-05-54	режим работы устанавливается юридическим лицом самостоятельно	125363, Россия, г. Москва, ул. Сходненская, д.23	Аптечный пункт
2853	ООО "Эллимар Групп"	121471, Москва, Можайское шоссе, д.31, корп.1	920-05-54	режим работы устанавливается юридическим лицом самостоятельно	125363, Россия, г. Москва, ул. Сходненская, д.23	Аптечный пункт
2854	ЗАО "Радон-М"	127273, г. Москва, Отрадный проезд, д.3-А	8-499-745-26-84	режим работы устанавливается юридическим лицом самостоятельно	127273, Россия, г. Москва, Отрадный проезд, д.3-А	Аптечный пункт
2855	ООО "Максифарм"	115304, г. Москва, Измайловское шоссе, д.6	8-495-394-43-90	режим работы устанавливается юридическим лицом самостоятельно	105187, Россия, г. Москва, Окружной проезд, д. 15	Аптечный пункт
2856	ООО Управляющая компания "Фармаком"	117321, г. Москва, ул. Профсоюзая, д. 124	8-499-199-37-03	режим работы устанавливается юридическим лицом самостоятельно	119269, Россия, г. Москва, Ленинский проспект, д.66	Аптечный пункт
2857	ООО Управляющая компания "Фармаком"	117208, г. Москва, ул. Кировоградская, д.9, корп.2	8-499-199-37-03	режим работы устанавливается юридическим лицом самостоятельно	119269, Россия, г. Москва, Ленинский проспект, д.66	Аптечный пункт
2858	ООО "Линия Жизни"	109125, г. Москва, Волгоградский проспект,д.53	8-499-340-36-83	режим работы устанавливается юридическим лицом самостоятельно	109125, Россия, г. Москва, Волгоградский проспект, д.53	Аптечный пункт
2859	ООО Управляющая компания "Фармаком"	127572, г. Москва, ул. Новгородская, д.25	8-499-199-37-03	режим работы устанавливается юридическим лицом самостоятельно	119269, Россия, г. Москва, Ленинский проспект, д.66	Аптечный пункт
2860	ООО "Малина"	105066, г. Москва, ул. Новорязанская, д.25, стр.1	8-495-945-02-87	режим работы устанавливается юридическим лицом самостоятельно	105066, Россия, г. Москва, ул. Новорязанская, д.25, стр.1	Аптечный пункт
2861	ООО "Бест Фарм"	125284, г. Москва, ул. Беговая, д.11	8-495-646-73-72	режим работы устанавливается юридическим лицом самостоятельно	117623, Россия, г. Москва, ул. Южнобутовская, д.91	Аптечный пункт
2862	ООО "ВитаЛайн"	109144, г. Москва, Луговой проезд, д.12, корп.1	8-495-948-94-00	режим работы устанавливается юридическим лицом самостоятельно	107031, Россия, Звонарский пер., д. 1, стр. 1	Аптечный пункт
2863	ООО "МЕПИКО"	129626, Москва, Проспект Мира, д.118	415-29-35	режим работы устанавливается юридическим лицом самостоятельно	121615, Россия, г. Москва, Рублёвское шоссе, д.26, корп.1, офис 128	Аптечный пункт
2864	ООО "Софитэль"	115580, Москва, ул. Кустанайская, вл. 8, корп. 3	8-903-666-49-04	режим работы устанавливается юридическим лицом самостоятельно	115162, Россия, г. Москва, ул. Шухова, д. 16, корп. 6	Аптечный пункт
2865	ООО "Ваше здоровье"	127224, Москва, Широкая улица, д.21	510 76 58	режим работы устанавливается юридическим лицом самостоятельно	127474, Россия, г. Москва, ул. Дубнинская, д.17, корп.1	Аптечный пункт
2866	ООО "Формула Здоровья Юг"	121096, Москва, ул. Барклая, д.10 А	506 01 30	режим работы устанавливается юридическим лицом самостоятельно	105037, Россия, г. Москва, Заводской пр., д.15	Аптечный пункт
2867	ООО "ДЕЖУРНАЯ АПТЕКА"	117465, г. Москва, ул. Генерала Тюленева, д. 29 А	776-59-98	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, ул. Старослободская, д. 16/17	Аптечный пункт
2868	ООО "АЗБУКА ЗДОРОВЬЯ"	107150, г. Москва, Бойцовая, д.22, стр.3	170-72-74	режим работы устанавливается юридическим лицом самостоятельно	107150, Россия, г. Москва, ул.Бойцовая,д.22, стр.3	Аптечный пункт
2869	ГУП "Столичные аптеки"	109180, г. Москва, ул. Большая Полянка, д. 65/74	(499)236-71-72; (499)237-29-61; (499)237-42-42	Пн-Пт 08.00-19.00; Суб., Вс. - выходной	125239, Россия, г. Москва, проезд Черепановых, д.6	Аптека
2870	ГБУЗ "ЦЛО  и КК ДЗ г. Москвы"	121609, г. Москва, ул. Осенняя, д.8, корп.2	(495)413-03-35, (495)413-03-54, (495)413-04-05	ПН-ПТ 08.00-20.00, СБ-ВС 10.00-18.00	127018, Россия, г. Москва, ул. Стрелецкая, дом 3	Аптека
2871	ГУП "Столичные аптеки"	119590, г. Москва, ул. Довженко, д. 6	(499) 147-94-40	пн-чт с 10 до 20, пт-сб с 10 до 18, вс вых.	125239, Россия, г. Москва, проезд Черепановых, д.6	Аптека
2872	ГБУЗ "ЦЛО  и КК ДЗ г. Москвы"	111399, г. Москва, ул. Новогиревская, д. 20/34, корп. 2	(495)304-10-57, (495)305-43-63	ПН-ПТ 08.00-20.00, СБ 10.00-18.00, ВС-выходной	127018, Россия, г. Москва, ул. Стрелецкая, дом 3	Аптека
2873	ГУП "Столичные аптеки"	119501, г. Москва, ул. Веерная, д. 3, корп. 6	(495) 441-82-11, (495) 441-82-22	пн-пт с 8 до 20, сб с 10 до 18, вс вых.	125239, Россия, г. Москва, проезд Черепановых, д.6	Аптека
2874	ГУП "Столичные аптеки"	127543, г. Москва, ул. Корнейчука, д. 40	(499)206-41-56; (499)206-29-47;(499)206-45-48	Пн-Пт 08.00-21.00; Суб. 09.00-19.00, Вс. - выходной	125239, Россия, г. Москва, проезд Черепановых, д.6	Аптека
