№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
3096	Муниципальное учреждение спортивный клуб "Лидер"	улица Солнечногорская, дом 17	Муниципалитет	(495) 456-40-04	nashe-golovino.ru	-	САО	Головинский	физкультурно-оздоровительные комплексы
3097	Дворовая площадка	Щёлковское шоссе, дом 92, корпус 6	Муниципалитет	(495) 287-80-05	-	-	ВАО	Северное Измайлово	открытые ледовые катки на месте спортивных площадок (сезонные)
3098	Дворовая площадка	Эльдорадовский переулок, дом 5	Муниципалитет	(499) 747-71-55	aer.sao.mos.ru	-	САО	Аэропорт	дворовые спортивные площадки
3099	Дворовая площадка	Югорский проезд, дом 22, корпус 2	Муниципалитет	(499) 182-99-81	-	-	СВАО	Ярославский	дворовые спортивные площадки
3100	Дворовая площадка	Юрловский проезд, дом 13А	Муниципалитет	(499) 904-34-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	дворовые спортивные площадки
3101	Дворовая площадка	Юрловский проезд, дом 17	Муниципалитет	(499) 904-34-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	дворовые спортивные площадки
3102	Муниципальное учреждение Досуговый центр "Родник" Спортивный Клуб "Чайка"	улица Смольная, дом 11	Муниципалитет	(495) 452-17-35	center-rodnik.org	center-rodnik@mail.ru center-rodnik@gmail.com	САО	Головинский	досуговые центры
3103	Муниципальное учреждение ДЦ "Юность"	улица 13-я Парковая, дом 38, корпус 3	Муниципалитет	(495) 468-55-36	-	-	ВАО	Северное Измайлово	досуговые центры
3104	Муниципальное учреждение ДЦ "Юность"	улица 15-я Парковая, дом 40Б	Муниципалитет	(495) 464-47-90	-	-	ВАО	Северное Измайлово	досуговые центры
3105	Муниципальное учреждение ДЦКС "Южное Измайлово"	улица Чечулина, дом 10	Муниципалитет	(499) 308-51-01	-	-	ВАО	Ивановское	досуговые центры
3106	Муниципальное учреждение СДЦ "Шире-Круг"	2-й проезд Марьиной Рощи, дом 21/23	Муниципалитет	(495) 681-48-12 (495) 681-42-99	-	-	СВАО	Марьина Роща	досуговые центры
3107	Муниципальное учреждение СДЦ "Шире-Круг"	2-я улица Марьиной Рощи, дом 16	Муниципалитет	(495) 681-48-12 (495) 681-42-99	-	-	СВАО	Марьина Роща	досуговые центры
3108	Муниципальное учреждение Спортивно-досуговый Центр "Вдохновение"	улица Дубнинская, дом 6А	Муниципалитет	(495) 480-74-22	munvdeg.ru	-	САО	Восточное Дегунино	досуговые центры
3109	Муниципальное учреждение СПЦ "МИР"	улица Сталеваров, дом 14, корпус 2	Муниципалитет	(495) 307-83-59	-	-	ВАО	Ивановское	досуговые центры
3110	Женский клуб "Империя Фитнеса"	улица Чистова, дом 22	Департамент имущества города Москвы	(495) 933-21-10	-	-	ЮВАО	Текстильщики	спортивные залы
3111	Женский фитнес-клуб "Стрекоза"	Кронштадтский бульвар, владение 47	частная	(495) 220-40-07 (495) 739-96-13	strekozafitness.ru	-	САО	Головинский	спортивные залы
3112	Зал аэробики	улица Онежская, дом 1/2	Муниципалитет	(495) 708-78-87 (495) 708-74-44	-	-	САО	Головинский	спортивные залы
3113	ЗАО СЭК "Лата Трек"	улица Крылатская, дом 1	частная	(495) 662-43-92	-	-	ЗАО	Крылатское	горнолыжные комплексы
3114	ООО "Спарта" Фитнес-клуб "Спарта"	8-я улица Текстильщиков, дом 17 8-я улица Текстильщиков, дом 15	Департамент имущества города Москвы	(499) 178-77-61	fitness-sparta.ru	fitness-sparta@mail.ru	ЮВАО	Текстильщики	спортивные залы
3115	ОСТО Таганского района	улица Библиотечная, дом 6	Муниципалитет	(495) 911-58-52	-	-	ЦАО	Таганский	физкультурно-оздоровительные комплексы
3116	Открытый ледовый каток	улица Угличская, дом 13	Департамент культуры города Москвы	-	-	-	СВАО	Лианозово	плоскостные спортивные сооружения
3117	Пансионат "Коньково" для ветеранов войны	улица Профсоюзная, дом 140, корпус 6	Департамент социальной защиты населения города Москвы	(499) 200-10-10 (495) 339-91-97	-	-	ЮЗАО	Теплый Стан	лечебные и оздоровительные центры
3118	Пансионат для ветеранов труда № 29	улица Нежинская, дом 2	Департамент социальной защиты населения города Москвы	(495) 442-54-91	-	-	ЗАО	Очаково-Матвеевское	лечебные и оздоровительные центры
3119	Париж -лайф	улица Петрозаводская, дом 11, корпус 3	частная	(495) 735-45-95	parislife.ru	-	САО	Ховрино	физкультурно-оздоровительные комплексы
3120	Парк "Гольяново"	улица Алтайская, владения 4-7	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	-	-	-	ВАО	Гольяново	велодорожки
3121	Парк "Сосенки"	Нахимовский проспект, дом 10	Департамент природопользования и охраны окружающей среды города Москвы	(499) 794-09-08	-	-	ЮЗАО	Котловка	плоскостные спортивные сооружения
3122	Парк им. Воровского	Ленинградское шоссе, дом 10	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	-	-	-	САО	Войковский	плоскостные спортивные сооружения
3123	парк имени Герцена	улица Липецкая, дом 5А	Департамент природопользования и охраны окружающей среды города Москвы	(495) 326-46-74	-	-	ЮАО	Бирюлёво Восточное	плоскостные спортивные сооружения
3124	РОДО Детский спортивный клуб "Ермакъ"	улица Туристская, дом 31, корпус 1	Муниципалитет	(495) 494-33-33	-	-	СЗАО	Северное Тушино	физкультурно-оздоровительные комплексы
3125	РОО "СПЕЦНАЗ ХХI"	улица Инженерная, дом 26, корпус 2	Муниципалитет	(499) 900-02-60	altufmun.ru	info@altufmun.ru	СВАО	Алтуфьево	физкультурно-оздоровительные комплексы
3126	РОО "Спортивный клуб "Юниор"	проспект Мира, дом 108	Муниципалитет	(495) 687-59-21	alekseevsky-mncpt.ru	mncpt@alekseevsky-mncpt.ru	СВАО	Алексеевский	спортивные залы
3127	РОО Водно-спортивная база "Динамо"	улица Таманская, владение 1, корпус 3	частная	(499) 192-00-90	-	-	СЗАО	Хорошево-Мневники	гребные базы и каналы
3128	РОО ДЮФСК "Атлетика"	улица Генерала Глаголева, дом 6, корпус 1	Департамент имущества города Москвы	(499) 199-06-68	-	-	СЗАО	Хорошево-Мневники	физкультурно-оздоровительные комплексы
3129	РОО МГФСО	2-й Южнопортовый проезд, дом 19, корпус 1	Муниципалитет	(499) 172-67-33	upr-juzhnoportovaja.ru	-	ЮВАО	Южнопортовый	центры дополнительного образования
3130	РОО СДЮК "Дикая слива"	Головинское шоссе, дом 8, корпус 1	Муниципалитет	(495) 708-80-73	voy.sao.mos.ru	voikovskii@mail.ru	САО	Войковский	спортивные залы
3131	РОО спортивный клуб "Муай-Тай"	улица Ботаническая, дом 14А	Департамент имущества города Москвы	(499) 903-50-90	thaiboksing.ru	kumite@inbox.ru	СВАО	Марфино	спортивные залы
3132	РОО Центр досуга детей и подростков "Содружество"	Банный переулок, дом 8	Муниципалитет	(495) 680-55-01	meschanka.info	6805501@rambler.ru	ЦАО	Мещанский	досуговые центры
3133	Русский теннисный клуб	улица Отрадная, дом 8	частная	(499) 904-42-16 (495) 783-66-90	xfit.ru	-	СВАО	Отрадное	спортивные залы
3134	Салтыковский парк	улица Салтыковская, дом 27	Департамент природопользования и охраны окружающей среды города Москвы	-	-	-	ВАО	Новокосино	плоскостные спортивные сооружения
3135	СДЦ "Норд-СВАО"	улица Сергея Эйзенштейна, дом 2	Муниципалитет	(499) 181-05-19	-	-	СВАО	Ростокино	досуговые центры
3136	СДЮСШОР "Юность Москвы"	улица Большая Косинская, дом 5	Департамент физической культуры и спорта города Москвы	(495) 700-00-82	-	-	ВАО	Косино-Ухтомский	центры дополнительного образования
3137	Муниципальное учреждение                      "СДЦ "БРЭК"	Чукотский проезд, дом 2	Муниципалитет	(499) 186-09-21 (495) 471-29-01	brek-centr.ru	-	СВАО	Бабушкинский	досуговые центры
3138	Муниципальное учреждение  ДЦ "Соколинка"	8-я улица Соколиной Горы, дом 20, корпус 1	Муниципалитет	(495) 779-09-60 (499) 166-70-64	dcsokolinka.ru	sokolinkacentr@rambler.ru	ВАО	Соколиная гора	досуговые центры
3139	Муниципальное учреждение  ДЦ "Соколинка"	проспект Буденного, дом 29/1	Муниципалитет	(499) 166-70-37	-	-	ВАО	Соколиная гора	досуговые центры
3140	Муниципальное учреждение  ДЦ "Соколинка"	проспект Буденного, дом 39, корпус 1	Муниципалитет	(499) 166-70-37	-	-	ВАО	Соколиная гора	досуговые центры
3141	Муниципальное учреждение  ДЦ "Соколинка"	улица Щербаковская, дом 54	Муниципалитет	(499) 166-70-37	-	-	ВАО	Соколиная гора	досуговые центры
3142	Социальный приют для детей и подростков ЮАО	Борисовский проезд, дом 15, корпус 3	Департамент социальной защиты населения города Москвы	(495) 390-53-54 (495) 394-40-29	-	-	ЮАО	Орехово-Борисово Северное	лечебные и оздоровительные центры
3143	Спортивный центр  "Московская академия тенниса"	проспеки Вернадского, дом 97/2	частная	(495) 431-75-86	-	-	ЗАО	Тропарёво-Никулино	досуговые центры
3144	Спорт клуб	Мичуринский проспект, дом 27, корпус 1	Муниципалитет	(495) 932-44-00	troparevo-zao.ru	-	ЗАО	Раменки	физкультурно-оздоровительные комплексы
3145	Спорт клуб	улица Герасима Курина, дом 44, корпус 1	Муниципалитет	(499) 144-55-19	filidvmunic.ru	-	ЗАО	Фили-Давыдково	физкультурно-оздоровительные комплексы
3146	Спорт клуб	улица Дружбы, дом 2/19	Муниципалитет	(495) 932-44-00	-	-	ЗАО	Раменки	физкультурно-оздоровительные комплексы
3147	Спорт клуб	улица Пырьева, дом 5А	Муниципалитет	(495) 932-44-00	-	-	ЗАО	Раменки	физкультурно-оздоровительные комплексы
3148	Спорт клуб	улица Толбухина, дом 5, корпус 2	Муниципалитет	(495) 544-80-05	-	-	ЗАО	Можайский	спортивные залы
3149	Спорт клуб	улица Толбухина, дом 5, корпус 3	Муниципалитет	-	-	-	ЗАО	Можайский	спортивные залы
3150	Спорт клуб "Лидер-Астрэл"	улица Барвихинская, дом 8, корпус 2	Департамент семейной и молодежной политики города Москвы	(495) 447-59-38	-	-	ЗАО	Можайский	плоскостные спортивные сооружения
3151	Муниципальное учреждение СПЦ "МИР"	шоссе Энтузиастов, дом 98, корпус 6	Муниципалитет	(495) 652-19-17	-	-	ВАО	Ивановское	досуговые центры
3152	Муниципальное учреждение ТДС "Родник"	улица Суздальская, дом 10, корпус 1	Муниципалитет	(495) 703-25-96	-	-	ВАО	Новокосино	досуговые центры
3153	Муниципальное учреждение ТЦ  "Ковчег"	улица Тверская, дом 12, строение 7	Муниципалитет	(495) 650-09-69	-	-	ЦАО	Тверской	досуговые центры
3154	Муниципальное учреждение физкультурно-досуговый центр "Русь"	Ленинградский проспект, дом 28	Муниципалитет	(495) 612-42-93	фдц-русь.рф	fdc-rus@mail.ru	САО	Беговой	досуговые центры
3155	Муниципальное учреждение Центр "Триумф"	улица Рудневка, дом 12	Муниципалитет	(499) 721-13-81	-	-	ВАО	Косино-Ухтомский	досуговые центры
3156	Спортивный зал	улица Декабристов, дом 2, корпус 1, 2	Муниципалитет	(495) 907-16-47	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	спортивные залы
3157	Спортивный зал	улица Мусоргского, дом 5, корпус 2	Муниципалитет	(499) 202-21-31	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	спортивные залы
3158	Спортивный зал	улица Новоостаповская, дом 4, корпус 1	Муниципалитет	(495) 958-98-64	-	-	ЮВАО	Южнопортовый	спортивные залы
3159	Спортивный зал	улица Римского-Корсакова, дом 6	Муниципалитет	(499) 202-08-88	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	спортивные залы
3160	Спортивный зал	улица Хачатуряна, дом 16, 18	Муниципалитет	(495) 904-12-89	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	спортивные залы
3161	Спортивный зал	Шебашевский проезд, дом 5	Муниципалитет	(495) 151-69-01	aer.sao.mos.ru	-	САО	Аэропорт	спортивные залы
3162	Спортивный зал	Юрловский проезд, дом 21	Муниципалитет	(495) 202-21-31	m-otradnoe.ru	mosportotr@mail.ru	СВАО	Отрадное	спортивные залы
3163	Спортивный зал	улица Пришвина, дом 12, корпус 2	Муниципалитет	(499) 745-33-07	bibirevomo.ru	bibirevo_mo@lianet.ru	СВАО	Бибирево	спортивные залы
3164	Спортивный зал "Сабурово"	Каширское шоссе, дом 57, корпус 5	Муниципалитет	(495) 344-99-91	mos-saburovo.ru	-	ЮАО	Москворечье-Сабурово	досуговые центры
3165	Парк Культуры и Отдыха Люблино	улица Тихая, дом 23	Департамент культуры города Москвы	(495) 350-12-60	-	-	ЮВАО	Люблино	плоскостные спортивные сооружения
3166	ПБОЮ "Муромец"	улица Генерала Рычагова, дом 21	частная	(495) 154-71-77 (495) 154-42-24	-	-	САО	Коптево	спортивные залы
3167	Площадка с антивандальными тренажерами	улица Лазо, дом 7	Департамент культуры города Москвы	-	-	-	ВАО	Перово	плоскостные спортивные сооружения
3168	Спортивный комплекс "Динамо"	Ленинградский проспект, дом 36	Федеральная	(499) 157-47-89	sk-dinamo.ru	-	САО	Аэропорт	физкультурно-оздоровительные комплексы
3169	Спортивный комплекс "Красный Октябрь"	улица Тушинская, дом 16	частная	(495) 491-89-89	tushinosport.ru	tushinosport@mail.ru	СЗАО	Покровское-Стрешнево	физкультурно-оздоровительные комплексы
3170	Спортивный комплекс "Свиблово"	улица Седова, дом 12А	Департамент физической культуры и спорта города Москвы	(499) 180-32-36	-	sviblovosk@mgfso.ru	СВАО	Свиблово	физкультурно-оздоровительные комплексы
3171	Спортивный комплекс "Трудовые резервы"	улица 11-я Парковая, дом 49	Департамент физической культуры и спорта города Москвы	(495) 463-54-66	-	-	ВАО	Северное Измайлово	физкультурно-оздоровительные комплексы
3172	Спортивный комплекс "Чертаново"	микрорайон Северное Чертаново, корпус 806	Департамент физической культуры и спорта города Москвы	(495) 318-13-21 (495) 318-34-51	-	-	ЮАО	Чертаново Северное	физкультурно-оздоровительные комплексы
3173	Спортивный комплекс ГОУ ДОДСН СДЮСШОР №73 "Виктория"	улица Алабяна, дом 13, корпус 1	Департамент физической культуры и спорта города Москвы	(499) 195-99-95	-	sdushor73@rambler.ru	САО	Сокол	центры дополнительного образования
3174	спортивный комплекс им. Э.А.Стрельцова	улица Восточная, владение 4А	частная	(495) 675-39-07	-	-	ЮАО	Даниловский	физкультурно-оздоровительные комплексы
3175	Спортивный комплекс Московского института стали и сплавов	улица Профсоюзная, дом 83Б	Федеральная	(495) 333-01-02 (495) 333-52-96	msisa.ru	nfo@msisa.ru	ЮЗАО	Коньково	ВУЗ
3176	Спортивный комплекс РГАУ -  МСХА имени Александра  Тимирязева	Лиственничная аллея, дом 12	Федеральная	(495) 976-20-53	timacad.ru	info@timacad.ru	САО	Тимирязевский	ВУЗ
3177	УСК "Первая ракетка"	Зеленоград, Озерная аллея, дом 8	частная	(495) 980-42-92 8 (903) 790-71-76	1raketka.ru	info@1raketka.ru ivan.filippov@1raketka.ru	ЗелАО	Савелки	физкультурно-оздоровительные комплексы
3178	Учебно спортивная база ЦСКА	улица 3-я Песчаная, дом 2	Федеральная	(495) 613-18-80	uslugi.cska.ru	brd@cska.ru	САО	Хорошевский	физкультурно-оздоровительные комплексы
3179	Учебно-спортивная база "Измайлово"	Первомайская аллея, дом 2, строение 1	Департамент физической культуры и спорта города Москвы	(495) 747-04-68	-	-	ВАО	Измайлово	футбольные поля
3180	Учебно-спортивный комбинат "Наука" МАИ	улица Большая Академическая, дом 38	Федеральная	(499) 154-52-71	mai.ru	mai@mai.ru	САО	Тимирязевский	ВУЗ
3181	Учебно-спортивный комплекс "Курьяново"	1-й Курьяновский проезд, дом 17, строение 1	Департамент физической культуры и спорта города Москвы	(495) 357-88-11	-	usk2005@mail.ru s64@mossport.ru	ЮВАО	Печатники	физкультурно-оздоровительные комплексы
3182	ФГУП "ГЦСС"	улица 1-я Мытищинская, дом 17	Федеральная	(495) 620-37-06	cccb.ru	cccb@cccb.ru	СВАО	Алексеевский	спортивные залы
3183	Федерация авиамодельного спорта России	Зеленоград, корпус 146, помещение 2, комната 1	Департамент имущества города Москвы	8 (901) 518-67-85	fasr.ru	infofasr@mail.ru 	ЗелАО	Матушкино	спортивные залы
3184	Федерация авиамодельного спорта России	Зеленоград, корпус 146, помещение 2, комната 2	Департамент имущества города Москвы	8 (901) 518-67-85	fasr.ru	infofasr@mail.ru 	ЗелАО	Матушкино	спортивные залы
3185	Федерация авиамодельного спорта России	Зеленоград, корпус 146, помещение 2, комната 3	Департамент имущества города Москвы	8 (901) 518-67-85	fasr.ru	infofasr@mail.ru 	ЗелАО	Матушкино	спортивные залы
3186	Физкультурно оздоровительный комплекс "Хорошево-М"	улица Демьяна Бедного, дом 7	Департамент имущества города Москвы	(499) 192-64-11	-	-	СЗАО	Хорошево-Мневники	физкультурно-оздоровительные комплексы
3187	Физкультурно оздоровительный комплекс с бассейном и спортивным залом ГОУ ДОДСН СДЮСШОР № 1 "Умка"	улица Левобережная, дом 14, строение 1	Департамент физической культуры и спорта города Москвы	(495) 458-10-84	-	-	САО	Ховрино	физкультурно-оздоровительные комплексы
3188	Дворовая площадка	улица Электрозаводская, дом 32	Муниципалитет	-	-	-	ВАО	Преображенское	дворовые спортивные площадки
3189	Спорт клуб "Надежда"	улица Гришина, дом 20	Муниципалитет	(495) 447-11-84	-	-	ЗАО	Можайский	спортивные залы
3190	Спортзал СК "Юность"	улица Зорге, дом 32	частная	(499) 105-45-78	-	-	САО	Сокол	спортивные залы
3191	Спортивная площадка	5-я улица Ямского поля, дом 24	Федеральная	(495) 614-62-49	gucei.org	getemcircus2@mail.ru	САО	Беговой	ВУЗ
3192	Спортивная площадка	Большая Филевская улица, дом 22	Департамент культуры города Москвы	-	-	-	ЗАО	Филёвский парк	плоскостные спортивные сооружения
3193	Спортивная площадка	Зеленоград, 13 квартал Крюковского лесопарка	Департамент природопользования и охраны окружающей среды города Москвы	-	-	-	ЗелАО	Савелки	дворовые спортивные площадки
3194	Спортивная площадка	Зеленоград, 5 квартал Крюковского лесопарка	Департамент природопользования и охраны окружающей среды города Москвы	-	-	-	ЗелАО	Матушкино	дворовые спортивные площадки
3195	Фитнес клуб "Н-Эрго"	Можайское шоссе, дом 2	частная	(495) 925-25-05	n-ergo.ru	-	ЗАО	Можайский	физкультурно-оздоровительные комплексы
3196	Фитнес клуб "Обыкновенное чудо"	улица Ясногорская, дом 2	частная	(495) 426-79-77	-	-	ЮЗАО	Ясенево	спортивные залы
3197	Фитнес клуб "Премьер спорт"	улица Улофа Пальме, дом 5, строения 1, 2	частная	-	-	-	ЗАО	Раменки	физкультурно-оздоровительные комплексы
3198	Фитнес клуб "Прогресс"	улица Плющева, дом 14	частная	(495) 368-21-03	-	-	ВАО	Перово	спортивные залы
3199	Фитнес клуб "Сити-Фитнес"	Зеленоград, корпус 1801А	частная	(495) 642-95-03	cityfit.ru	-	ЗелАО	Крюково	физкультурно-оздоровительные комплексы
3200	Фитнес клуб "Спорт класс"	Фрязевская улица, 9, корпус 1	частная	(495) 641-67-83	-	-	ВАО	Новогиреево	спортивные залы
3201	Фитнес клуб "Спортив"	улица Седова, дом 15, корпус 2	частная	(499) 186-75-28	-	-	СВАО	Свиблово	спортивные залы
3202	Фитнес клуб "ФизКульт"	Пятницкое шоссе, дом 29, корпус 5	частная	(495) 759-19-19	fizkult.ru	MIT_sale2@fizkult.ru	СЗАО	Митино	физкультурно-оздоровительные комплексы
3203	Фитнес клуб "ФизКульт"	улица Демьяна Бедного, дом 4, корпус 2	частная	(495) 946-54-00 (495) 221-73-73	fizkult.ru	POL_sale@fizkult.ru	СЗАО	Хорошево-Мневники	физкультурно-оздоровительные комплексы
3204	Спортивный зал ДЮСШ № 70 "Молния"	улица Икшинская, дом 3А	Департамент физической культуры и спорта города Москвы	(495) 484-60-61	-	-	САО	Дмитровский	центры дополнительного образования
3205	Спортивный зал РГАИС	улица Миклухо-Маклая, дом 55А	Федеральная	(495) 330-10-83	rgiis.ru	-	ЮЗАО	Коньково	ВУЗ
3206	Спортивный зал СДЮШОР №31	улица Кржижановского, дом 4А	Департамент физической культуры и спорта города Москвы	(499) 126-66-00	-	-	ЮЗАО	Академический	центры дополнительного образования
3207	Спортивный клуб	Алтуфьевское шоссе, дом 87	Муниципалитет	(499) 209-09-95	sk-lianozovo.ru	-	СВАО	Лианозово	физкультурно-оздоровительные комплексы
3208	Спортивный клуб	улица Абрамцевская, дом 9, корпус 1	Муниципалитет	(495) 908-01-12	msu-lianozovo.ru	-	СВАО	Лианозово	физкультурно-оздоровительные комплексы
3209	Спортивный клуб	улица Волынская, дом 12	Муниципалитет	-	-	-	ЗАО	Солнцево	физкультурно-оздоровительные комплексы
3210	Фитнес-клуб "Эльзе"	Иваньковское шоссе, дом 5	частная	(495) 234-44-44	elseclub.ru	Gorlova@elseclub.ru	СЗАО	Покровское-Стрешнево	физкультурно-оздоровительные комплексы
3211	Фитнес-клуб Azone	улица Малая Грузинская, дом 21	частная	(495) 255-54-06 (495) 253-58-76	-	-	ЦАО	Пресненский	спортивные залы
3212	Фитнес-клуб DAEV CLUB	Даев переулок, дом 20	частная	(495) 204-82-23 (495) 204-82-24	daev.ru	-	ЦАО	Красносельский	физкультурно-оздоровительные комплексы
3213	Фитнес-клуб Diana Al	улица Большая Грузинская, дом 20	частная	(495) 254-35-73	-	-	ЦАО	Пресненский	спортивные залы
3214	Фитнес-клуб Dr. Loder	Страстной бульвар, дом 10, корпус 1	частная	(495) 775-74-74 (495) 775-74-00	-	-	ЦАО	Тверской	физкультурно-оздоровительные комплексы
3215	Фитнес-клуб Dr. Loder	улица Остоженка, дом 25	частная	(495) 201-4076 (495) 201-4047	loder.ru	-	ЦАО	Хамовники	физкультурно-оздоровительные комплексы
3216	Фитнес-клуб East-West fitness&Pilates Studio	улица Усачева, дом 3	частная	(495) 739-32-88	-	-	ЦАО	Хамовники	спортивные залы
3217	Фитнес-клуб ENJOY	Дербенёвская набережная, дом 7, строение 6	частная	(495) 744-17-44	enjoy-fitness.ru	-	ЦАО	Замоскворечье	физкультурно-оздоровительные комплексы
3218	Спортивный комплекс РГАУ - МСХА имени корпус Александра  Тимирязева	Лиственничная аллея, дом 12	Федеральная	(495) 976-20-53	timacad.ru	info@timacad.ru	САО	Тимирязевский	ВУЗ
3219	Спортивный оздоровительный комплекс "ГРАНАТ"	улица Тайнинская, дом 20	Муниципалитет	(495) 474-00-32	sokgranat.ru	sokgranat@mail.ru	СВАО	Лосиноостровский	спортивные залы
3220	Спортивный фонд молодёжи "Рико"	Подкопаевский переулок, дом 9, строение 1	Муниципалитет	(495) 924-63-22 (495) 924-65-62	-	-	ЦАО	Басманный	спортивные залы
3221	Дворовая площадка	улица Чертановская, дом 58, корпус 2	Муниципалитет	(495) 381-68-64	chu.uao.mos.ru	-	ЮАО	Чертаново Южное	дворовые спортивные площадки
3222	Дворовая площадка	улица Чертановская, дом 6, корпус 1	Муниципалитет	(495) 381-68-64	chu.uao.mos.ru	-	ЮАО	Чертаново Южное	дворовые спортивные площадки
3223	Дворовая площадка	улица Чертановская, дом 66, корпус 4	Муниципалитет	(495) 381-68-64	chu.uao.mos.ru	-	ЮАО	Чертаново Южное	дворовые спортивные площадки
3224	Дворовая площадка	улица Чечулина, дом 10	Муниципалитет	(495) 300-62-56	ivanovskoe-vostok.ru	-	ВАО	Ивановское	открытые ледовые катки на месте спортивных площадок (сезонные)
3225	Дворовая площадка	улица Чистова, дом 15/15	Муниципалитет	(499) 179-83-25	mun-tekstil.ru	-	ЮВАО	Текстильщики	дворовые спортивные площадки
3226	Дворовая площадка	улица Чистопольская, дом 5	Муниципалитет	(495) 678-11-93	-	-	ЮВАО	Нижегородский	открытые ледовые катки на месте спортивных площадок (сезонные)
3227	Дворовая площадка	улица Чичерина, дом 8, корпус 1	Муниципалитет	(495) 471-57-39	babush.ru	info@babush.ru	СВАО	Бабушкинский	дворовые спортивные площадки
3228	Дворовая площадка	улица Чоботовская, дом 3	Муниципалитет	(495) 733-06-45	np-mos.ru	mun-np@mail.ru	ЗАО	Ново-Переделкино	открытые ледовые катки на месте спортивных площадок (сезонные)
3229	Дворовая площадка	улица Чугунные Ворота, дом 19, корпус 2	Муниципалитет	(495) 657-60-59	vihyno.org	-	ЮВАО	Выхино-Жулебино	дворовые спортивные площадки
3230	Дворовая площадка	улица Чусовская, дом 15	Муниципалитет	(495) 462-03-59	-	-	ВАО	Гольяново	открытые ледовые катки на месте спортивных площадок (сезонные)
3231	Дворовая площадка	улица Шаболовка, дом 63, корпус 2	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
3232	Дворовая площадка	улица Энергетическая, дом 16, корпус 2	Муниципалитет	(495) 361-30-71 (495) 361-17-84	lefmun.ru	-	ЮВАО	Лефортово	дворовые спортивные площадки
3233	Дворовая площадка	улица Энергетическая, дом 5	Муниципалитет	(495) 361-30-71 (495) 361-17-84	lefmun.ru	-	ЮВАО	Лефортово	дворовые спортивные площадки
3234	Дворовая площадка	улица Южнобутовская, дом 105	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
3235	Дворовая площадка	улица Южнобутовская, дом 117	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3236	Дворовая площадка	улица Южнобутовская, дом 121	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3237	Дворовая площадка	улица Южнобутовская, дом 29, корпус 1	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3238	Дворовая площадка	улица Южнобутовская, дом 49	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3239	Дворовая площадка	улица Южнобутовская, дом 5	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
3240	Дворовая площадка	улица Южнобутовская, дом 62	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3241	Дворовая площадка	улица Южнобутовская, дом 66	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
3242	Дворовая площадка	улица Южнобутовская, дом 80, корпус 1	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3243	Дворовая площадка	улица Южнобутовская, дом 86, корпус 1	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
3244	Дворовая площадка	улица Юннатов, дом 17, корпус 2	Муниципалитет	(495) 656-41-47	sav.sao.mos.ru	-	САО	Савеловский	открытые ледовые катки на месте спортивных площадок (сезонные)
3245	МУ МЦ "Котловка"	Нахимовский проспект, дом 27, корпус 5	Муниципалитет	(495) 127-56-12	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	спортивные залы
3246	Фитнес клуб "Физкульт"	улица Мосфильмовская, дом 70	частная	(495) 232-00-44	-	-	ЗАО	Раменки	физкультурно-оздоровительные комплексы
3247	Фитнес клуб "Фитнесмания"	Ленинский проспект, дом 146	частная	(495) 981-42-42	fitnessmania.ru	-	ЗАО	Тропарёво-Никулино	физкультурно-оздоровительные комплексы
