0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
139;361;Фрязино – Москва (м. Щелковская);Щелковская-прям. напр. :обр. напр. ::;4;Не регламентируется;Не регламентируется;30,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4038";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4038";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
143;365;Чехов – Чепелево – Москва (м. Южная);Южная-прям. напр. :,Варшавское шоссе,Днепропетровская улица,Кировоградская улица,улица Красного Маяка,Варшавское шоссеобр. напр. ::;18;Не регламентируется;Не регламентируется;68,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 96";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
148;370;Химки (м/рСходня) - м.Речной вокзал;Речной вокзал-прям. напр. :обр. напр. ::;2;Не регламентируется;Не регламентируется;22,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 36";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 36";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
153;377;г.Зеленоград (ст.Крюково) - Хоругвино (Городок);-прям. напр. :,Панфиловский проспектобр. напр. ::;3;Не регламентируется;Не регламентируется;21,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4238";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4238";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
158;384;Балашиха (а/с Звездная) – Москва (м. Щелковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;3;Не регламентируется;Не регламентируется;11,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4016";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 4016";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
163;39;ст. Мытищи – Вешки;"прям. напр. : ст. Мытищи – Вешки
обр. напр. : Вешки - ст. Мытищи";2;Не регламентируется;Не регламентируется;17,2;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 26";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 26";ООО АВТОКАРЗ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
168;393;Лыткарино – Люберцы – Москва (м. Выхино);Выхино-прям. напр. :,улица Хлобыстова,Рязанский проспектобр. напр. ::;15;Не регламентируется;Не регламентируется;22;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 55";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 55";ООО СТАФФТРАНС-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
175;402;Малино – Б. Алексеевское – Москва (а/с Выхино);Выхино-прям. напр. :,улица Хлобыстова,Рязанский проезд,МКАД, 10-й километробр. напр. ::;3;Не регламентируется;Не регламентируется;89,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 10";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 10";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
180;405;ст.Люберцы - м/р Жулебино, ул.Авиаконструктора Миля, д.2;-прям. напр. :,улица Авиаконструктора Миля,улица Генерала Кузнецоваобр. напр. ::;4;Не регламентируется;Не регламентируется;6,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 52";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 52";ООО СТАФФТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
199;428;Чехов – Нерастанное – Москва (м. Южная);Южная-прям. напр. :,Варшавское шоссе,Днепропетровская улицаобр. напр. :,Кировоградская улица,улица Красного Маяка,Варшавское шоссе:;1;Не регламентируется;Не регламентируется;98,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 2";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 2";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
204;432;ст.Львовская - Молодежный - м.Южная;Южная-прям. напр. :,Варшавское шоссе,улица Академика Янгеля,Кировоградская улицаобр. напр. :,Сумская улица,Варшавское шоссе:;2;Не регламентируется;Не регламентируется;47,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5; кол-во рейсов: 2";"день нед.: 1,2,3,4,5; кол-во рейсов: 2";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
209;441;Жуковский (ул. Гудкова) – Москва (м. Кузьминки);Кузьминки-прям. напр. :обр. напр. ::;5;Не регламентируется;Не регламентируется;29,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 40";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
214;447;Балашиха-2-г.Москва (м.Щелковская);Щелковская-прям. напр. :,Щёлковское шоссеобр. напр. ::;8;Не регламентируется;Не регламентируется;13,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 160";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 160";ИП ЗОТИН В.А.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
219;450;Руза – Никольское – Москва (а/с Тушинская);Тушинская-прям. напр. :,Волоколамское шоссеобр. напр. ::;2;Не регламентируется;Не регламентируется;119,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 4";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 4";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
75;273;Москва (Абрамцевская ул.)-Поведники;-прям. напр. :,Абрамцевская улица,Вологодский проезд,Алтуфьевское шоссе,Череповецкая улица,Лианозовский проезд,Дмитровское шоссеобр. напр. ::;6;Не регламентируется;Не регламентируется;16,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 192";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 192";ООО СЕВЕРНЫЙ ТРАКТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
491;917;Вязьма (Смоленская обл.) - Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 55-й километробр. напр. :: г Вязьма,г Гагарин,г Можайск,г Москва;13;Не регламентируется;Не регламентируется;245;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .18:00 10:00 07:00 13:30 21:30отпр.19:30 12:15 09:00 16:30 22:30";"день нед.: 1,2,3,4,5,6,7; приб. .18:00 10:00 07:00 13:30 21:30отпр.19:30 12:15 09:00 16:30 22:30";ИП МЕЛЬНИКОВ Ю.А.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
496;926;"г.Реутов (ТРЦ РИО"")-Москва (м.Выхино)""";Выхино-прям. напр. :,Вешняковская улица,Свободный проспект,Зелёный проспект,улица Молостовых,Саянская улицаобр. напр. ::;10;Не регламентируется;Не регламентируется;9,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
501;940;"ст.Реутово-ст.Люберцы-Котельники (МЕГА Белая дача"")""";-прям. напр. :,Суздальская улица,Новокосинская улица,Салтыковская улица,Оранжерейная улица,улица Медведева,улица Рудневка,Лухмановская улица,Красковская улицаобр. напр. ::;12;Не регламентируется;Не регламентируется;17,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";ООО АЛЬФА-МОБИЛ М;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
506;943;п.Октябрьский (м/р Западный) - Котельники (МЕГА Белая Дача) - м.Братиславская;Братиславская-прям. напр. :обр. напр. ::;12;Не регламентируется;Не регламентируется;16,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 120";ООО СТАФФТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
511;948;"817? Москва(м.Планерная)- Аэропорт Шереметьево-1""""";Планерная-прям. напр. :обр. напр. ::;6;Не регламентируется;Не регламентируется;21;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 192";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 192";ООО АВТОРОУД (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
516;950;Касимов (Рязанская обл.) - Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 8-й километробр. напр. :,МКАД, 8-й километр,Щёлковское шоссе: г Касимов,г Москва;5;Не регламентируется;Не регламентируется;300,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .19:00 16:40 13:30 05:00 20:30 отпр.21:30 16:00 09:45 07:30 23:00";"день нед.: 1,2,3,4,5,6,7; приб. .19:00 16:40 13:30 05:00 20:30 отпр.21:30 16:00 09:45 07:30 23:00";ООО КАСИМОВСКОЕ ПОАТ-3;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
521;957;м.Домодедовская - Котельники (МЕГА Белая Дача);Домодедовская-прям. напр. :обр. напр. ::;8;Не регламентируется;Не регламентируется;15,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов:";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов:";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
526;960;Куркино(Тульская обл.)-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 24-й километробр. напр. :: г Москва,г Богородицк;2;Не регламентируется;Не регламентируется;322,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .14:00 07:35отпр.16:15 09:25";"день нед.: 1,2,3,4,5,6,7; приб. .14:00 07:35отпр.16:15 09:25";ООО МЕЖДУГОРОДНАЯ ТРАНСПОРТНАЯ КОМПАНИЯ-2;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
531;965;Ржев (Тверская обл.) - Москва;РЖД-Трансфер Север-прям. напр. :,Ленинградский проспект,Волоколамское шоссе,МКАД, 63-й километробр. напр. :: г Ржев,г Зубцов,г Волоколамск,г Москва;5;Не регламентируется;Не регламентируется;220;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .16:15 13:25 08:15 10:45отпр.17:15 15:50 10:40 14:00";"день нед.: 1,2,3,4,5,6,7; приб. .16:15 13:25 08:15 10:45отпр.17:15 15:50 10:40 14:00";ИП СЕЧКАРУК С.А.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
536;970;Кострома-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 95-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;340;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .05:40отпр.12:50";"день нед.: 1,2,3,4,5,6,7; приб. .05:40отпр.12:50";ГУП КОСТРОМСКОЕ ПАТП №3;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
541;973;Тутаев-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссеобр. напр. :: г Тутаев,г Ярославль,г Ростов,г Переславль-Залесск,г Сергиев Посад,г Москва;1;Не регламентируется;Не регламентируется;299;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 6; приб. .05:30отпр.";"день нед.: 6; приб. .05:30отпр.";ОАО ЯРОСЛАВСКОЕ ПАТП №3;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
546;978;п.Беспятово - а/с Выхино;-прям. напр. :,улица Хлобыстова,Рязанский проспект,Московская Кольцевая Автодорога,Новорязанское шоссеобр. напр. ::;1;Не регламентируется;Не регламентируется;75,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 1";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 1";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
551;980;Москва(м.Планерная)-Химки (ТЦ МЕГА);Планерная-прям. напр. :,Планерная улица,улица Свободы,Молодёжная улица,Куркинское шоссе,Воротынская улица,Родионовская улица,улица Соловьиная Роща,Юровская улица,Соколово-Мещерская улица,Новокуркинское шоссеобр. напр. ::;5;Не регламентируется;Не регламентируется;10;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 90";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 90";ООО РЕГИОН АВТО 1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
556;981;Москва-Саратов;Новоясеневская-прям. напр. :,Новоясеневский проспект,улица Паустовского,проезд Карамзина,МКАД, 24-й километробр. напр. :: г Москва,г Балашов,г Калининск,г Саратов;5;Не регламентируется;Не регламентируется;956;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .10:00 08:50 07:50 06:45 05:50отпр.19:40 18:00 16:20 14:00 12:20";"день нед.: 1,2,3,4,5,6,7; приб. .10:00 08:50 07:50 06:45 05:50отпр.19:40 18:00 16:20 14:00 12:20";ООО АВТОТРАНСЮГ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
560;983;Пенза-Земетчино-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссеобр. напр. :: г Пенза,г Каменка,г Белинский,г Спасск,г Шацк,г Рязань,г Коломна,г Москва;4;Не регламентируется;Не регламентируется;825;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .04:05 21:00отпр.17:20 10:00";"день нед.: 1,2,3,4,5,6,7; приб. .04:05 21:00отпр.17:20 10:00";ООО ИНЖСТРОЙ-СЕРВИС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
565;991;Вязники (Владимирская обл)-Москва (Щелковский);Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 1-й километробр. напр. ::;3;Не регламентируется;Не регламентируется;293;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .11:28 05:23отпр.14:15 07:10";"день нед.: 1,2,3,4,5,6,7; приб. .11:28 05:23отпр.14:15 07:10";ОАО ВЯЗНИКОВСКОЕ ПАТП;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
570;Б/Н;г.Красногорск (м/р Павшинская Пойма)-Москва (Тушинская);Тушинская-прям. напр. :,Волоколамское шоссеобр. напр. ::;10;Не регламентируется;Не регламентируется;6,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
575;Б/Н;г.Реутов (ул.Дзержинского)-Москва (м.Новогиреево);Новогиреево-прям. напр. :обр. напр. ::;10;Не регламентируется;Не регламентируется;5,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
580;Б/Н;г.Красногорск (м/р Павшинская Пойма)-Москва (Тушинская);Тушинская-прям. напр. :обр. напр. ::;10;Не регламентируется;Не регламентируется;6,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
585;Б/Н;г.Балашиха (ул.Трубецкая)-Москва (м.Выхино);Выхино-прям. напр. :обр. напр. ::;20;Не регламентируется;Не регламентируется;21,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 200";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
