№ строки	Название	Наименование ансамбля	Категория
4916	Главный вход (пропилеи, циркумференции) с металлической оградой (ковка, литьё) в каменных столбах и Ленинской площадью перед главным входом, 1955 г., арх. Ю.В.Щуко, А.Спасов, инж. Л.Шойхет, Б.Новиков	Центральный парк культуры и отдыха им. Горького	категория не устанавливается
4917	Главный вход (пропилеи, циркумференции) с металлической оградой (ковка, литьё) в каменных столбах и Ленинской площадью перед главным входом, 1955 г., арх. Ю.В.Щуко, А.Спасов, инж. Л.Шойхет, Б.Новиков	Центральный парк культуры и отдыха им. Горького	категория не устанавливается
4918	Главный вход (пропилеи, циркумференции) с металлической оградой (ковка, литьё) в каменных столбах и Ленинской площадью перед главным входом, 1955 г., арх. Ю.В.Щуко, А.Спасов, инж. Л.Шойхет, Б.Новиков	Центральный парк культуры и отдыха им. Горького	категория не устанавливается
4919	Главный вход (пропилеи, циркумференции) с металлической оградой (ковка, литьё) в каменных столбах и Ленинской площадью перед главным входом, 1955 г., арх. Ю.В.Щуко, А.Спасов, инж. Л.Шойхет, Б.Новиков	Центральный парк культуры и отдыха им. Горького	категория не устанавливается
4920	Главный вход (пропилеи, циркумференции) с металлической оградой (ковка, литьё) в каменных столбах и Ленинской площадью перед главным входом, 1955 г., арх. Ю.В.Щуко, А.Спасов, инж. Л.Шойхет, Б.Новиков	Центральный парк культуры и отдыха им. Горького	категория не устанавливается
4921	Флигель, сер. XVIII в., 1893 г., арх. И.Г.Кондратенко	Городская усадьба А.Б.Бутурлина - В.Ф.Голохвастовой - доходное владение Российского страхового общества "Жизнь"	категория не устанавливается
4922	Флигель, сер. XVIII в., 1893 г., арх. И.Г.Кондратенко	Городская усадьба А.Б.Бутурлина - В.Ф.Голохвастовой - доходное владение Российского страхового общества "Жизнь"	категория не устанавливается
4923	Главный дом, сер. XVIII в., 1893 г., арх. И.Г.Кондратенко	Городская усадьба А.Б.Бутурлина - В.Ф.Голохвастовой - доходное владение Российского страхового общества "Жизнь"	категория не устанавливается
4924	Жилой дом с торговыми и административными помещениями для работников Курской железной дороги, 1928 г., инж.-арх. Б.Н.Шатнев		категория не устанавливается
4925	Обсерватория, 1929 г.	Школа с обсерваторией, 1929 г.	категория не устанавливается
4926	Школа, 1929 г.	Школа с обсерваторией, 1929 г.	категория не устанавливается
4927	Техническое училище им. Ф.Я.Ермакова, 1905 г., арх. Н.Г.Фалеев, 1906 г., арх. Н.Е.Марков		категория не устанавливается
4928	Жилой дом кооператива "Советский архитектор", 1935-1938 гг., архитекторы  А.В.Щусев, А.К.Ростковский		категория не устанавливается
4929	Главный дом (деревянный), 1846 г., 1885-1887 гг., архитекторы Ф.П. Скоморошенко, И.Т. Владимиров	Городская усадьба П.Н. Зубова - А.К. Мартоса, XIX в.	категория не устанавливается
4930	Дом церкви Николая Чудотворца Явленного с залом для общественных собраний и библиотекой, 1911 г., архитектор Л.С.Стеженский. В этом доме в различные годы проживали академик П.Ребиндер, Н.Карасевский		категория не устанавливается
4931	Первый московский электрический фонарь, 1880 г.		категория не устанавливается
4932	Главный дом городской усадьбы купца В.А.Шибаева, 1820-е гг.		категория не устанавливается
4933	Службы, 1799-1804 гг.	Усадьба А.С.Шемякина, кон. XVIII- 2-я пол. XIX вв.	категория не устанавливается
4934	Главный дом, 1799-1804 гг., 1855 г., 1876., арх. П.П.Скоморошенко	Усадьба А.С.Шемякина, кон. XVIII- 2-я пол. XIX вв.	категория не устанавливается
4935	Жилой дом Наумовых-Волконских, 1833 г., 1897 г. Здесь с 1926 года размещается библиотека им. Н.К.Крупской		категория не устанавливается
4936	Жилой дом Генерального штаба Вооруженных сил СССР (с воротами и скульптурным завершением пилонов), 1939-1940 гг., 1945-1946 гг., арх. М.М.Дзисько, Н.И.Гайгаров		категория не устанавливается
4937	Ограда, 1892 г.	Городская усадьба, XVIII-XIX вв.	категория не устанавливается
4938	Восточный флигель, конец XVIII начало XIX вв., 1901 г., арх. Н.Н.Благовещенский	Городская усадьба, XVIII-XIX вв.	категория не устанавливается
4939	Западный флигель, конец XVIII начало XIX вв.	Городская усадьба, XVIII-XIX вв.	категория не устанавливается
4940	Главный дом, 1814 г., 1892 г., арх. Э.Юдицкий	Городская усадьба, XVIII-XIX вв.	категория не устанавливается
4941	Доходный дом А.Д.Сидамона-Эристова, 1910-1912 гг., арх. В.А.Величкин, кон. 1930-х гг.		категория не устанавливается
4942	Конюшни, 1907 г.	Ансамбль городской усадьбы семьи Тарасовых	категория не устанавливается
4943	Флигель, конец XVIII в. первая половина XIX в.	Городская усадьба кн. Одоевских - Г.И.Хаджи-Консты, XVIII-XIX вв.	категория не устанавливается
4944	Доходный дом, 1877 г., арх. М.И.Никифоров	Доходное владение, 2-я пол. XIX в. (в основе городская усадьба П.А.Позднякова-Юсуповых, XVIII-XIX вв.)	категория не устанавливается
4945	Доходный дом (бывший флигель), 1783 г., 1802-1812 гг., 1876-1877 гг.	Доходное владение, 2-я пол. XIX в. (в основе городская усадьба П.А.Позднякова-Юсуповых, XVIII-XIX вв.)	категория не устанавливается
4946	Монумент самолету ТУ-104 А/Б, 1956 г., ген. конструктор А.Н.Туполев		категория не устанавливается
4947	Жилой дом с палатами XVIII в., 1875-1877 гг., арх. А.П.Попов		категория не устанавливается
4948	Жилой дом, 1936-1940 гг., арх. И.А.Соболев, А.А.Апостолова (арх. мастерская М.Парусникова)		категория не устанавливается
4949	Терапевтический корпус, 1909 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4950	Приемное отделение и поликлиника с сортировочным отделением (изолятором), 1937 г., арх. И.А.Иванов-Шиц, арх. Н.В.Гофман-Пылаев	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4951	Кухня, погреба, ледник, 1909 г.	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4952	Ограда, 1909 г.	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4953	Жилой корпус, 1909 г., 1915-1927 гг., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4954	Квартирный корпус, 1909 г., 1915-1924 гг., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4955	Докторский (жилой) корпус, 1909 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4956	Инфекционный корпус ("рожистых заболеваний"), 1912 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4957	Инфекционный корпус ("разборочный"), 1912 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4958	Церковь Косьмы и Дамиана с анатомическим театром и часовней для отпевания, 1909-1910 гг.	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4959	Лечебный корпус, 1909 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4960	Хирургический корпус, 1915-1925 гг., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4961	Терапевтический корпус, 1908-1909 гг., 1915-1925 гг., 1937 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4962	Административный корпус с переходными галереями, 1909 г., арх. И.А.Иванов-Шиц	Ансамбль Городской больницы им. К.Т.Солдатенкова (Московская городская клиническая больница им. С.П.Боткина), 1909-1916 гг., 1923-1926 гг., арх. И.А.Иванов-Шиц, 1937 г., Н.А.Волков	категория не устанавливается
4963	Жилые дома для американских специалистов, 1929 г., арх. М.Мотылев Жилой дом	Жилой поселок "Дангауэровка", 1920-1930 гг., арх. Р.Вегнер, М.Мотылев, Н.Молоков, И.А.Звездин, Е.Ю.Шервинский	категория не устанавливается
4964	Жилые дома для американских специалистов, 1929 г., арх. М.Мотылев Жилой дом	Жилой поселок "Дангауэровка", 1920-1930 гг., арх. Р.Вегнер, М.Мотылев, Н.Молоков, И.А.Звездин, Е.Ю.Шервинский	категория не устанавливается
4965	Домовый храм Святого Праведного Филарета Милостивого Ермаковской богадельни за Трёхгорной заставой, 1889 г.		категория не устанавливается
4966	Доходный дом, 1910-1911 гг., арх. Г.А. Гельрих		категория не устанавливается
4967	Западный флигель, конец 1780-х гг., середина XIX в., архитектор И.Я. Быковцев, под руководством М.И. Бове	Арбатский частный дом, конец XVIII в. - XIX в.	категория не устанавливается
4968	Главный дом (палаты) кон. XVII нач. XVIII вв., 1784 г., 1875 г.	Городская усадьба с фабрикой Е.П.Петрова, 2-я пол. XIX в. - нач. XX в.	категория не устанавливается
4969	Институт генетики АН СССР (НИИ по удобрениям и инсектофунгицидам им. Я.В.Самойлова РАН), 1936-1939 гг., арх. А.В.Щусев		категория не устанавливается
4970	Царский павильон XV Всероссийской торгово-промышленной и художественной выставки, 1882 г., арх. А.Э.Вебер, А.С.Каминский		категория не устанавливается
4971	Доходный дом с лавками, 1856 г., 1889 г., 1897 г., 1905 г., арх В. Гамбурцев	Ансамбль застройки Серпуховской площади (фрагмент)	категория не устанавливается
4972	Общежитие текстильного института, середина 1920-х гг.		категория не устанавливается
4973	Главный корпус, 1951 г., арх. И.В.Жолтовский, К.И Соломонов, П.Н.Шевердяев, Ш.А.Айрапетов	Ансамбль Горного института РАН, 1951 г., 1956 г., 1961 г., арх. И.В.Жолтовский, соавторы: арх. К.И.Соломонов, П.Н.Шевердяев, Ш.А.Айрапетов	категория не устанавливается
4974	Типография акционерного общества "Огонек", 1930-1933 гг., архитектор Л.М.Лисицкий, 1933-1934 гг., архитектор М.О.Барщ		категория не устанавливается
4975	Жилой дом, 1879 г.	Доходное владение купца Я.Т. Кудрявцева (в основе городская усадьба 1-й трети XIX в.), 2-я половина XIX в.	категория не устанавливается
4976	Фонтан, XIX в.		категория не устанавливается
4977	Чугунные ворота, 1852 г., арх. К.А.Тон		категория не устанавливается
4978	Жилой дом сотрудников Акционерного общества "Журнально-газетного объединения (ЖУРГАЗ)", 1931-1935 гг., арх М.О.Барщ, Г.Зунблат. В этом доме проживали деятели Коминтерна, в кв. №6 у журналиста М.Кольцова бывали выдающиеся журналисты, художники, деятели ку		категория не устанавливается
4979	Лечебный корпус, 1913 г., арх. Е.В.Шервинский	Ансамбль городской клиники нервных болезней доктора Л.С.Цейтлина (с 1914 г. - Шаболовский филиал Городской психиатрической больницы им. Алексеева), 1913 г., арх. Е.В.Шервинский	категория не устанавливается
4980	Служебный корпус, 1913 г., арх. Е.В.Шервинский	Ансамбль городской клиники нервных болезней доктора Л.С.Цейтлина (с 1914 г. - Шаболовский филиал Городской психиатрической больницы им. Алексеева), 1913 г., арх. Е.В.Шервинский	категория не устанавливается
4981	Лечебный корпус, 1913 г., арх. Е.В.Шервинский	Ансамбль городской клиники нервных болезней доктора Л.С.Цейтлина (с 1914 г. - Шаболовский филиал Городской психиатрической больницы им. Алексеева), 1913 г., арх. Е.В.Шервинский	категория не устанавливается
4982	Жилой флигель, 1817 г., 1875 г., арх. Д.И.Певницкий	Городская усадьба П.О.Чихачева, 1788 г., XIX в., арх. Д.И.Певницкий	категория не устанавливается
4983	Главный дом, 1788 г., XIX в.	Городская усадьба П.О.Чихачева, 1788 г., XIX в., арх. Д.И.Певницкий	категория не устанавливается
4984	Доходный дом, 1874 г., 1895 г.		категория не устанавливается
4985	Особняк Тарасовых, 1905 г., арх. В.П. Вотилов, Н. Морозов, 1907 г., инж. М.Ф. Гейслер, 1912 г.	Ансамбль городской усадьбы семьи Тарасовых	категория не устанавливается
4986	Хирургический корпус 2-й Градской больницы, 1927 г., арх. И.А. Иванов-Шиц,  В.А. Ганешин		категория не устанавливается
4987	Доходный дом с лавками, 1800-1810-е гг., 1827 г., 1883 г., арх. С. Тропаревский	Ансамбль застройки Серпуховской площади (фрагмент)	категория не устанавливается
4988	Доходный дом купцов Еремеевых с номерами и гостиницей, 1852-1854 гг., в основе флигель усадьбы В.П.Разумовской, 1797 г.		категория не устанавливается
4989	Доходный дом, 1910 г., архитектор Д.Г.Топазов	Доходное домовладение А.М.Бабушкина	категория не устанавливается
4990	Здание богадельни храма во имя иконы Иверской Божией Матери на Всполье, 1886 г.		категория не устанавливается
4991	Доходный дом, кон. XVIII в., 1820-е гг., 1830-е гг., 1870-е гг.		категория не устанавливается
4992	Частная клиника доктора П.Д. Соловово, 1914 г., арх. Н.И. Жерихов, с 1923 г. – родильный дом им. Г.Л. Грауэрмана		категория не устанавливается
4993	Особняк Э.М. Федотовой, 1900 г., арх. С.Ф. Федотов, с 1923 г. – родильный дом им. Г.Л. Грауэрмана		категория не устанавливается
4994	Столовая, 1878 г., арх. И.С.Семёнов, 1888 г.,	Ансамбль студенческого общежития им. С.В.Лепешкина Императорского Московского Университета , 1876 г., арх. М.И.Никифоров, 1878 г., арх. И.С.Семёнов, 1884 г., арх. В.В.Барков, 1914 г.	категория не устанавливается
4995	Доходный дом, 1900 г., арх. А.П.Матвеев, 1908 г., инж. В.Е.Дубовской		категория не устанавливается
4996	Станция "Аэропорт" Московского метрополитена Замоскворецкой (Горьковско-Замоскворецкой) линии, 1938 г., арх. Б.С.Виленский, В.А.Ершов		категория не устанавливается
4997	Станция "Аэропорт" Московского метрополитена Замоскворецкой (Горьковско-Замоскворецкой) линии, 1938 г., арх. Б.С.Виленский, В.А.Ершов		категория не устанавливается
4998	Перронный зал	Станция Московского метрополитена Горьковско-Замоскворецкой линии "Динамо", 1938 г., арх-ры:Я.Г.Лихтенберг, Ю.А.Ревковский, арх-ры вестибюля: Д.Н.Чечулин, инж.-констр.: А.Ф.Денищенко, барельефы: ск. Е.А.Янсон-Манизер	категория не устанавливается
4999	Перронный зал	Станция Московского метрополитена Горьковско-Замоскворецкой линии "Динамо", 1938 г., арх-ры:Я.Г.Лихтенберг, Ю.А.Ревковский, арх-ры вестибюля: Д.Н.Чечулин, инж.-констр.: А.Ф.Денищенко, барельефы: ск. Е.А.Янсон-Манизер	категория не устанавливается
5000	два наземных вестибюля	Станция Московского метрополитена Горьковско-Замоскворецкой линии "Динамо", 1938 г., арх-ры:Я.Г.Лихтенберг, Ю.А.Ревковский, арх-ры вестибюля: Д.Н.Чечулин, инж.-констр.: А.Ф.Денищенко, барельефы: ск. Е.А.Янсон-Манизер	категория не устанавливается
5001	два наземных вестибюля	Станция Московского метрополитена Горьковско-Замоскворецкой линии "Динамо", 1938 г., арх-ры:Я.Г.Лихтенберг, Ю.А.Ревковский, арх-ры вестибюля: Д.Н.Чечулин, инж.-констр.: А.Ф.Денищенко, барельефы: ск. Е.А.Янсон-Манизер	категория не устанавливается
5002	Станция Московского метрополитена Кольцевой  линии «Проспект Мира», 1952 г., арх. В.Г.Гельфрейх, М.А.Минкус.		категория не устанавливается
5003	Станция Московского метрополитена Горьковско-Замоскворецкой линии «Сокол», 1938 г., арх.К.Яковлев, Ю.Яковлев		категория не устанавливается
5004	Станция Московского метрополитена Кольцевой линии «Курская», 1950 г., арх. Г.Захаров, З.Чернышева		категория не устанавливается
5005	Станция Московского метрополитена Арбатско-Покровской линии «Курская», 1938 г., арх. Л.Поляков		категория не устанавливается
5006	Станция Московского метрополитена Арбатско-Покровской линии «Киевская», 1953 г., арх-ры: Л.В.Лилье, В.А.Литвинов, М.Ф.Марковский, В.М.Доброковский, арх.вестибюля: И.Г.Таранов, Г.С.Тосунов, инж.-констр.: А.Н.Пирожкова		категория не устанавливается
5007	Станция Московского метрополитена Кольцевой  линии «Киевская», 1954 г., арх-ры: Е.И.Катонин, В.К.Скугарев, Г.Е.Голубев-соавтор		категория не устанавливается
5008	Станция Московского метрополитена Филевской  линии «Киевская», 1937 г., арх.Д.Н.Чечулин, инж.-констр.: Л.В.Воронецкий, Н.А.Кабанов		категория не устанавливается
5009	Здание павильона СССР на "ЭКСПО-67" в Монреале, 1967 г., арх. М.В.Посохин, А.А.Мндоянц, Б.И.Тхор, 1976 г.		категория не устанавливается
5010	Жилой дом, конец XVIII в., 1817 г., 1859 г., 1875 г., архитектор А.Е.Вебер		категория не устанавливается
5011	Жилой дом преподавателей Московского Синодального училища церковного пения, 1897 г., арх. В.Д.Шер. Здесь жили выдающиеся композиторы А.Д.Кастальский, П.Г.Чесноков и др.		категория не устанавливается
5012	Дом доходный, 1895 г., архитектор А.Ф.Мейснер	Ансамбль доходных домов графа А.Д.Шереметева (с 1920-х гг. - "5-й Дом Советов"), 1890-е гг., архитектор А.Ф.Мейснер	категория не устанавливается
5013	Доходный дом А.Г. Заварской, 1912 г., архитекторы И.Г. Кондратенко, С.А.Дорошенко		категория не устанавливается
5014	Сторожка, 1900-е гг.	Доходное владение А.В.Красногоровой - Блиновых	категория не устанавливается
5015	Доходный дом купца В.В.Пегова, 1870-е гг., 1885 г. (в основе главный дом и флигель усадьбы Н.И.Ширяевой, 1836 г.). В этом доме жил и работал художник М.М.Черемных (1890-1962)		категория не устанавливается
5016	Жилой дом Наркомлегпрома, 1935-1936 гг.		категория не устанавливается
5017	Хозяйственная постройка, 1847 г., 1912 г.	Городская усадьба К.Ф.Ратхен - Е.А.Лютер - Саргиных	категория не устанавливается
5018	Административное здание Товарищества российско-американской резиновой мануфактуры "Треугольник", 1914 г., архитектор М.С.Лялевич		категория не устанавливается
5019	Ограда с воротами и калиткой, 1897 г., архитектор А.Ф.Мейснер	Ансамбль доходных домов графа А.Д.Шереметева (с 1920-х гг. - "5-й Дом Советов"), 1890-е гг., архитектор А.Ф.Мейснер	категория не устанавливается
5020	Доходный дом с магазинами Московского купеческого общества, 1888 г., архитектор А.С.Каминский, 1907 ., архитектор В.В.Шервуд.		категория не устанавливается
5021	Доходный дом с магазинами, 1863-1865 гг., арх. В.И. Соколов, 1896 г., арх. С.С.Эйбушитц, нач. XX в.	Ансамбль доходных домов (в основе - городская усадьба Салтыковых), XVIII в.,  XIX в., нач. XX в.	категория не устанавливается
5022	Жилой дом А.И.Ушаковой, 1866 г.		категория не устанавливается
5023	Ограда, 1900 г., арх. А.Н.Новиков	Доходное владение А.В.Красногоровой - Блиновых	категория не устанавливается
5024	Главный дом городской усадьбы Кулаковых (женская гимназия), нач. XIX в., 1830-е гг., 1869 г.		категория не устанавливается
5025	здание училища, 1912-1913 гг., инженер-архитектор О.В.фон Дессин	Петропавловское мужское лютеранское училище, 1912-1913 гг., инженер-архитектор О.В. фон Дессин	категория не устанавливается
5026	Палаты подворья Пафнутиево-Боровского монастыря, сер. XVII в. Перемещены из владения подворья Боровского Пафнутьевского монастыря, Н		категория не устанавливается
5027	Доходный дом с магазинами кн. А.Г. Гагарина (в основе палаты XVIII в.), 1817 г., 1886-87 гг., арх. В.А. Коссов, 1896 г. арх. Р.И.Кле		категория не устанавливается
5028	Доходный дом, 1880-1881 гг., арх. П.В. (?) Михайлов, В.И. Веригин, 1900 г., арх. А.Н. Новиков, 1932-1933 гг., (в основе жилой флигель 2-ой пол. XVIII в.). Здесь в сер. 1920-х нач. 1930-хх гг. жил великий поэт О.Э. Мандельштам	Доходное владение А.В.Красногоровой - Блиновых	категория не устанавливается
5029	Доходный дом, 1897-1899 гг., арх. И.Г.Кондратенко (в основе главный дом усадьбы, 1793 г.). В здании с 1820-х гг. располагалась "Петр		категория не устанавливается
5030	Главный дом усадьбы (гостиница "Рояль"), XVIII в., 1810-е гг., 1891 г., арх. К.В. Трейман. Здесь останавливались химик Д.И. Мендел	Ансамбль доходных домов (в основе - городская усадьба Салтыковых), XVIII в.,  XIX в., нач. XX в.	категория не устанавливается
5031	Жилой дом, 1843-1845 гг., 1892-1893 гг., арх. К.Дуванов, с ценной художественной отделкой интереов, кон. XIX в. (скульптурная мастер		категория не устанавливается
5032	Санкт-Петербургский Международный коммерческий банк, 1910-1911 гг., арх. А.Э.Эрихсон		категория не устанавливается
5033	Дом причта храма св. Николая Чудотворца "что у Столпа" с церковной лавкой, 1848-1849 гг., 1889 г.,  1912 г.		категория не устанавливается
5034	Главный дом городской усадьбы купца И.В.Попова Е.П. Щепкиной, 1790-е гг., 1814 г., 1890-е гг., архитектор Д.Д.Подлужин		категория не устанавливается
5035	Главный дом Якунчиковых (в основе палаты), до 1758 г.	Домовладение Якунчиковых, 2-я пол. XIX- нач. XX вв. (в основе городские усадьбы XVIII-XIX вв., двор и погост церкви Косьмы и Дамиана	категория не устанавливается
5036	Дом доходный с торговыми помещениями товарищества "Петр Митрофанов", 1912-1913 гг., архитектор А.В.Иванов		категория не устанавливается
5037	Дом доходный К.К.Мазинга, 1912 г., архитектор Г.Ф.Ярцев. В этом доме с 1913 по 1926 гг. жил и работал известный математик и обществе		категория не устанавливается
5038	Жилой дом для преподавателей, 1912-1913 гг., инженер-архитектор О.В. фон  Дессин	Петропавловское мужское лютеранское училище, 1912-1913 гг., инженер-архитектор О.В. фон Дессин	категория не устанавливается
5039	Электрическая станция , кон. 1930-х -1940-е гг. с оградой		категория не устанавливается
5040	Дом доходный, 1897 г., архитектор А.Ф.Мейснер	Ансамбль доходных домов графа А.Д.Шереметева (с 1920-х гг. - "5-й Дом Советов"), 1890-е гг., архитектор А.Ф.Мейснер	категория не устанавливается
5041	Дом жилой, 1928 г., архитектор А.Я.Лангман		категория не устанавливается
5042	Жилой дом, 1798 г., 1838 г., 1877-1879 гг., здесь с 1918 по 1968 гг. в квартире № 49 жил и работал историк Москвы П.В.Сытин		категория не устанавливается
5043	Азовско-Донской банк, 1880-е гг., 1912-1914 гг., архитектор А.Н.Зелигсон		категория не устанавливается
5044	Жилой дом для служащих Московской конторы Государственного банка, 1915 г., гр. инж. Б.М.Нилус, нач. 1922-1925 гг., арх. С.А.Кротов		категория не устанавливается
5045	Жилой дом для служащих Московской конторы Государственного банка, 1915 г., гр. инж. Б.М.Нилус, нач. 1922-1925 гг., арх. С.А.Кротов		категория не устанавливается
5046	Дом доходный Е.И.Кузнецова, 1810-1820-е гг., 1875 г., 1887 г., архитектор А.Е.Рожанский		категория не устанавливается
5047	Меховой магазин и фабрика "Торгового дома А.М.Михайлова" "Общесоюзный дом моделей одежды", 1888-1889 гг., арх. В.В.Барков, 1901-1902 гг., А.Э.Эрихсон, 1907 г., А.Э.Эрихсон, 1915 г., А.Э.Эрихсон, 1950-е гг.		категория не устанавливается
5048	Жилой дом А.А.Муромцева, 1-я половина XVIII в., 1828 г., конец XIX в., архитектор М.А.Арсеньев		категория не устанавливается
5049	Доходный дом А.В.Борисовского, 1859 г.		категория не устанавливается
5050	Кассовый павильон, 1930-е гг.	Ансамбль автозаправочной станции, 1930-е гг.	категория не устанавливается
5051	Торговый дом братьев Джамгаровых, первая треть XIX в., 1870-е гг., 1893 г., архитектор Б.В.Фрейденберг, 1907 г., архитектор А.Э.Эрихсон		категория не устанавливается
5052	Дом доходный, 1897-1899 гг., архитектор А.Ф.Мейснер	Ансамбль доходных домов графа А.Д.Шереметева (с 1920-х гг. - "5-й Дом Советов"), 1890-е гг., архитектор А.Ф.Мейснер	категория не устанавливается
5053	Административное здание (б. ЦК ВЛКСМ), 1928-1929 гг.,  арх. В.Д.Цветаев (в основе корпуса Николо-Угрешского подворья, нач. XIX в.)		категория не устанавливается
5054	Доходный дом В.К. и П.К.Микини, 1901 г., архитектор В.А.Властов, 1905 г., гражданский инженер П.К.Микини. Здесь в 1908-1911 гг. жил		категория не устанавливается
5055	Жилой дом с административными помещениями РЖСКТ "Крестьянская газета" им. Л.Б.Красина, 1929-1930 гг., арх. С.Г.Чернышев		категория не устанавливается
5056	Дом жилищного кооператива "Педагог Московской консерватории", 1953-1956 гг., арх. М.Л.Маркузе		категория не устанавливается
5057	Корпус келий Златоустовского монастыря, 1789 г., 1862 г., 1872  г.		категория не устанавливается
5058	Доходный дом Якунчиковых, 1896 г., арх. Ф.Ф.Воскресенский	Домовладение Якунчиковых, 2-я пол. XIX- нач. XX вв. (в основе городские усадьбы XVIII-XIX вв., двор и погост церкви Косьмы и Дамиана	категория не устанавливается
5059	Ограда по Калашному переулку, 1816 г., 1894 г., арх. А.Мейснер	Городская усадьба И.Г. Наумова-А.С. Олениной-В.В. Думнова, XVIII-XIX вв.	категория не устанавливается
5060	Главный дом (флигель), 1802 г., 1840 г., 1847 г.	Городская усадьба К.Ф.Ратхен - Е.А.Лютер - Саргиных	категория не устанавливается
5061	Здание амбулатории, мастерские и гараж, 1910 г., надстройка 1926 г.	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	категория не устанавливается
5062	Ограда дачи Коншиной (санатория для увечных воинов), 1900-е гг.		категория не устанавливается
5063	Ограда дачи Коншиной (санатория для увечных воинов), 1900-е гг.		категория не устанавливается
5064	Ограда дачи Коншиной (санатория для увечных воинов), 1900-е гг.		категория не устанавливается
5065	Ограда дачи Коншиной (санатория для увечных воинов), 1900-е гг.		категория не устанавливается
5066	Ограда дачи Коншиной (санатория для увечных воинов), 1900-е гг.		категория не устанавливается
5067	Доходный  дом О.О.Вильнера, 1903 г., арх. Н.И.Жерихов		категория не устанавливается
5068	Фабричный корпус, 1913 г., арх. К.К.Гиппиус	Ансамбль корпусов чаеразвесочной фабрики "Торгово-промышленное товарищество преемник Алексея Губкина А.Кузнецов и К"	категория не устанавливается
5069	Дача А.В.Ананьевой, кон. XIX нач. XX вв.	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	категория не устанавливается
5070	Партер с подпорной стенкой и фонтаном	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	категория не устанавливается
5071	Партер с подпорной стенкой и фонтаном	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	категория не устанавливается
